"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"229","HQI TRANSELEC CHILE S.A.","Providencia",2,"APOQUINDO 3721 PISO 6",158,2,85,"PR","158_PR_2",2155.2222353404,2177.03235732296,2126.38569961947,2250.32945253048,2124.54853878516,2204.52412815284,2239.38771417202
"230","I. MUNICIPALIDAD DE VITACURA","Vitacura",4,"SANCHO DE LA HOZ 3470 DIREC.DE OPERACI",236,3,90,"VI","236_VI_3",2155.82378575502,2185.7471824729,2130.47821803075,2251.58724774105,2127.50536592815,2205.56205105283,2241.08453681954
"231","I.MUNICIPALIDAD DE PROVIDENCIA","Providencia",2,"P DE VALDIVIA 963  DEPTO CATASTRO",308,4,30,"PR","308_PR_4",2157.56110815484,2191.03633237858,2138.20530681277,2251.59790850672,2137.00953285391,2207.10984577816,2243.1484852155
"232","I.MUNICIPALIDAD DE PROVIDENCIA","Providencia",2,"PEDRO DE VALDIVIA 963.DIREC.PROTEC CIVIL",237,3,70,"PR","237_PR_3",2157.56110815484,2191.03633237858,2138.20530681277,2251.59790850672,2137.00953285391,2207.10984577816,2243.1484852155
"233","I.MUNICIPALIDAD DE SANTIAGO","Santiago",1,"BALMACEDA  1114  3P",159,2,55,"SA","159_SA_2",2158.95305009122,2194.99294952041,2143.05492363321,2255.67279090018,2150.42278508442,2208.59400435677,2247.71727163485
"234","I.MUNICIPALIDAD DE SANTIAGO","Santiago",1,"STO DOMINGO 916 PISO 7 OF.703 CENT.FOTO",51,1,90,"SA","51_SA_1",2158.95305009122,2194.99294952041,2143.05492363321,2255.67279090018,2150.42278508442,2208.59400435677,2247.71727163485
"235","IMAX S. A.","Providencia",2,"PADRE MARIANO 277 P 3",160,2,60,"PR","160_PR_2",2159.17467973451,2200.8445657883,2148.99683380908,2256.05411252483,2152.79755417465,2210.82921335091,2247.76378636617
"236","IMPRESORA Y COMERCIAL TIEMPO FUTURO SA","Providencia",2,"ALMIRANTE PASTENE 259",309,4,60,"PR","309_PR_4",2162.47290867667,2202.69149435337,2152.67104937596,2259.67802635308,2154.59375133319,2214.57010165151,2247.95457861766
"237","IMPRESORA Y COMERCIAL TIEMPO FUTURO SA","Providencia",2,"ALMIRANTE PASTENE 259",310,4,120,"PR","310_PR_4",2162.47290867667,2202.69149435337,2152.67104937596,2259.67802635308,2154.59375133319,2214.57010165151,2247.95457861766
"238","INACAP","Las Condes",3,"AV. APOQUINDO 7282 P-3 SALA DE PROF.",161,2,180,"LC","161_LC_2",2164.76776082661,2203.27778528231,2159.75768338555,2260.14355391049,2168.78573758179,2221.74828583811,2249.00076762806
"239","INDUSTRIA TEXTIL MONARCH S.A.","Santiago",1,"VICUNA MACKENNA 1215 PISO 3",238,3,60,"SA","238_SA_3",2167.82520930078,2209.82786055915,2163.59547086766,2261.48494829791,2174.01451551618,2230.37040541163,2259.79723146145
"240","ING SALUD ISAPRE","Santiago",1,"MIRAFLORES 222 E/P",162,2,1,"SA","162_SA_2",2171.74048749974,2212.59082025593,2166.76300277067,2266.17443175976,2186.08548841139,2235.5315989262,2266.7221381451
"241","ING SALUD S.A.","Santiago",1,"MORANDE 325 SUBTERRANEO",239,3,180,"SA","239_SA_3",2174.82239212153,2214.63209057678,2167.25907777378,2272.47164340102,2203.92805862187,2244.90102564684,2290.68978257859
"242","ING SEGUROS DE VIDA S.A.","Providencia",2,"COYANCURA 2283",52,1,30,"PR","52_PR_1",2174.87103457208,2226.18043046596,2179.31495907699,2277.59085166089,2204.1271147772,2253.5436762937,2291.06724455478
"243","ING SEGUROS DE VIDA S.A.","Providencia",2,"COYANCURA 2283",240,3,60,"PR","240_PR_3",2174.87103457208,2226.18043046596,2179.31495907699,2277.59085166089,2204.1271147772,2253.5436762937,2291.06724455478
"244","INGENIERIA ELECTRICA VOLTA LTDA.","óu“oa",5,"JOSE MANUEL INFANTE 2670",53,1,90,"NU","53_NU_1",2181.6753848251,2235.66303775853,2185.177619118,2282.12150209573,2207.06158118073,2254.49344591771,2293.83251676712
"245","INGENIERIA Y CONST. KODAMA LTDA.","Providencia",2,"AVDA ELIODORO YA?EZ 1198",311,4,60,"PR","311_PR_4",2192.05224635506,2236.77124947821,2189.43787969738,2287.53771687242,2227.88849950591,2260.92258318578,2300.68223333054
"246","INMOBIL. E INVERSIONES RUCA S.A.","Santiago",1,"MAC IVER 225 OF 302",241,3,20,"SA","241_SA_3",2193.09929646593,2239.24243201134,2189.70974922976,2289.43858060159,2235.70079532837,2283.35262491748,2317.8263270057
"247","INMOBILIARIA NORTE VERDE S.A.","Las Condes",3,"ENRIQUE FOSTER SUR 20 PISO 14",55,1,60,"LC","55_LC_1",2198.72402268979,2239.92973378058,2192.34883075743,2290.95834182467,2237.06865903654,2290.89113660292,2342.69920503363
"248","INMOBILIARIA NORTE VERDE S.A.","Las Condes",3,"ENRIQUE FOSTER SUR 20 PISO 14",54,1,60,"LC","54_LC_1",2198.72402268979,2239.92973378058,2192.34883075743,2290.95834182467,2237.06865903654,2290.89113660292,2342.69920503363
"249","INSTITUTO DE ESTUDIOS GRAFICOS DE CHILE","Providencia",2,"CANADA 253  OF A  2257706",312,4,50,"PR","312_PR_4",2199.85643176882,2247.95542958338,2193.18146148038,2306.24003367763,2256.43219528424,2298.22068919578,2364.19367902347
"250","INSTITUTO HEBREO S.A.","Las Condes",3,"AV.LAS CONDES 13450",56,1,150,"LC","56_LC_1",2201.70533832201,2250.6070725899,2215.99938225239,2307.35285691733,2259.33310139824,2300.69429114788,2364.26655416094
"251","INSTITUTO NACIONAL DE DEPORTES","Providencia",2,"FIDEL OTEIZA 1956 P.3",313,4,50,"PR","313_PR_4",2203.98415909144,2251.0955015567,2221.38366877912,2323.25573369639,2266.03343065166,2309.53289457254,2374.00277900052
"252","INSTITUTO NACIONAL DE DEPORTES","Providencia",2,"FIDEL OTEIZA 1956  P.8",163,2,120,"PR","163_PR_2",2203.98415909144,2251.0955015567,2221.38366877912,2323.25573369639,2266.03343065166,2309.53289457254,2374.00277900052
"253","INTERPLUS S.A.","óu“oa",5,"JOSE P.ALESSANDRI 1800",164,2,90,"NU","164_NU_2",2206.71580765429,2260.31367798953,2221.45502125658,2328.16205578692,2267.28823378569,2311.90334995703,2393.74077839788
"254","INVERSIONES Y SERVICIOS S.A.","Santiago",1,"HUERFANOS 979 P 7",314,4,20,"SA","314_SA_4",2207.50056951758,2260.63978439007,2222.28111186545,2328.48988388822,2268.01413079547,2335.81974941513,2404.69061157467
"255","ISAPRE COLMENA GOLDEN CROSS S.A.","Las Condes",3,"APOQUINDO 5009 DPTO DE OPERACIONES",380,5,234,"LC","380_LC_5",2216.28070908424,2265.88145242573,2230.86064805041,2338.61073844947,2278.35666024523,2339.03180366061,2426.41102805652
"256","ISAPRE CONSALUD S.A.","Santiago",1,"ALAMEDA 1511 P.7",59,1,60,"SA","59_SA_1",2217.15035857901,2273.3163996187,2232.33663859699,2352.24081319427,2280.94078390399,2342.59448624056,2434.86333786715
"257","ISAPRE CONSALUD S.A.","Santiago",1,"SAN MARTIN 30 PISO 1",57,1,60,"SA","57_SA_1",2217.15035857901,2273.3163996187,2232.33663859699,2352.24081319427,2280.94078390399,2342.59448624056,2434.86333786715
"258","ISAPRE CONSALUD S.A.","Santiago",1,"ALAMEDA 1511 P.7",58,1,60,"SA","58_SA_1",2217.15035857901,2273.3163996187,2232.33663859699,2352.24081319427,2280.94078390399,2342.59448624056,2434.86333786715
"259","ISAPRE PROMEPART","Santiago",1,"MERCED 280 PISO 3",165,2,120,"SA","165_SA_2",2222.55513011262,2279.98886432774,2250.41392456676,2352.5277065287,2289.46093457373,2350.75979078579,2446.46725776644
"260","ISE LAS AMERICAS CIA DE SEG DE VIDA S.A.","Las Condes",3,"AV. EL BOSQUE NORTE 0177 OF. 602",60,1,90,"LC","60_LC_1",2225.91631114572,2283.52780719463,2251.71989692716,2355.46982014244,2299.5934478772,2351.04166105044,2448.22323676129
"261","JOHNSON`S S.A.","Santiago",1,"óUBLE   1055  P. 2",167,2,60,"SA","167_SA_2",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"262","JOHNSON`S S.A.","Santiago",1,"AGUSTINAS 978",64,1,10,"SA","64_SA_1",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"263","JOHNSON`S S.A.","Santiago",1,"AHUMADA 55 PISO 2",62,1,150,"SA","62_SA_1",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"264","JOHNSON`S S.A.","Santiago",1,"NUBLE 1034 PISO 2",61,1,30,"SA","61_SA_1",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"265","JOHNSON`S S.A.","Santiago",1,"AVDA. KENNEDY 5413 L-123",166,2,40,"SA","166_SA_2",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"266","JOHNSON`S S.A.","Santiago",1,"óUBLE 1008 REC HUMANOS",65,1,30,"SA","65_SA_1",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"267","JOHNSON`S S.A.","Santiago",1,"MATIAS COUSIóO  64 E P OF 1",63,1,75,"SA","63_SA_1",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"268","JOHNSON`S S.A.","Santiago",1,"SAN DIEGO 1856 PISO 2 AUDITORIA",381,5,60,"SA","381_SA_5",2231.03063569475,2284.09164041548,2254.30174382687,2358.11481804034,2308.36518895512,2353.64721918369,2458.86935501537
"269","KOCH INGENIERIA (CHILE) LTDA.","Las Condes",3,"EL BOSQUE NORTE 0440 OF.1202",242,3,40,"LC","242_LC_3",2231.79882238749,2285.3227759271,2256.58731234062,2358.19630046683,2308.91667401599,2357.81921858249,2467.05761778171
"270","KPMG JERIA Y ASOC. AUDIT. CONSULT. LTDA.","Santiago",1,"MONJITAS 527 PISO 13 OF 1304",315,4,180,"SA","315_SA_4",2233.62279523961,2290.27007027373,2261.01108423965,2362.86309953934,2321.19384359224,2363.11763017739,2474.83318964564
"271","LABORATORIO CHILE S.A.","óu“oa",5,"AV MARATON 1315",316,4,60,"NU","316_NU_4",2238.8695341223,2291.55904892857,2271.27261692302,2373.96115524004,2330.30076003865,2376.81101953166,2475.97184534287
"272","LABORATORIO RECALCINE","Providencia",2,"PEDRO DE VALDIVIA 428",66,1,75,"PR","66_PR_1",2240.08710436502,2294.66763232895,2287.92707245916,2380.63249146725,2346.62579563168,2377.09338580931,2477.35257758214
"273","LABORATORIO RIDER S.A.","Santiago",1,"PLACER 1354  PISO 2",168,2,60,"SA","168_SA_2",2243.26278338302,2303.81902697392,2293.74318602973,2384.62943583994,2358.33414225322,2403.60795763824,2491.0644233916
"274","LAS AGUILAS LTDA.","Santiago",1,"BANDERA 84 P2 OF 215",67,1,60,"SA","67_SA_1",2244.04497804683,2306.30407487956,2306.44675732154,2390.99022088125,2358.98291980335,2421.31280247177,2492.36672436115
"275","LE MANS ISE CIA.DE SEG.GENERALES S.A.","Las Condes",3,"ENCOMENDEROS 138",317,4,45,"LC","317_LC_4",2244.53235334907,2311.58447772796,2307.20674547367,2398.50754332463,2386.92732568616,2422.5659641533,2496.21806766492
"276","LEXIS NEXIS CHILE LTDA","Santiago",1,"MIRAFLORES 383 P.12",243,3,120,"SA","243_SA_3",2246.38769691395,2320.58032762336,2314.15266190511,2416.0138155962,2398.36148401194,2432.57364411718,2502.15999321135
"277","LEXIS NEXIS CHILE LTDA","Santiago",1,"MIRAFLORES  383 PISO 12",318,4,240,"SA","318_SA_4",2246.38769691395,2320.58032762336,2314.15266190511,2416.0138155962,2398.36148401194,2432.57364411718,2502.15999321135
"278","LIBRERIA GONZALEZ Y ASPE LTDA","Santiago",1,"LIRA 192 LOCAL G",68,1,120,"SA","68_SA_1",2247.26528466394,2324.85993775465,2317.61809712613,2419.30922540567,2420.84133235535,2437.39467876309,2541.44617460722
"279","LOPEZ MARTINEZ MARIA EUGENIA","Vitacura",4,"VITACURA 8400 LOCAL   D",69,1,60,"VI","69_VI_1",2248.92664103046,2327.18039501637,2326.4338274478,2424.02051655599,2426.2914342489,2457.09978794143,2569.20644752501
"280","MANQUEHUE NET S.A.","Providencia",2,"11 DE SEPTIEMBRE 2260 LOC 51",382,5,30,"PR","382_PR_5",2249.50533566103,2330.11653418271,2327.41908645861,2424.36955972518,2426.45956637857,2490.02642627819,2585.79704332188
"281","MARIANA THOMSEN Y CIA.LTDA.","Providencia",2,"MANUEL MONTT 2000",319,4,90,"PR","319_PR_4",2250.84798180426,2331.97049228061,2334.75653672199,2430.35179817318,2428.90623665488,2494.12353743946,2591.42394366058
"282","MAX HUBER REPROTECNICA LTDA.","Providencia",2,"GENERAL DEL CANTO 276",71,1,520,"PR","71_PR_1",2251.46774425699,2335.10289976385,2349.87572881043,2440.71311798769,2435.02517168193,2523.24470611365,2602.9848206911
"283","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MIRAFLORES 109",70,1,180,"SA","70_SA_1",2251.46774425699,2335.10289976385,2349.87572881043,2440.71311798769,2435.02517168193,2523.24470611365,2602.9848206911
"284","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MIRAFLORES 109",170,2,120,"SA","170_SA_2",2251.46774425699,2335.10289976385,2349.87572881043,2440.71311798769,2435.02517168193,2523.24470611365,2602.9848206911
"285","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MONEDA 1045",244,3,80,"SA","244_SA_3",2251.46774425699,2335.10289976385,2349.87572881043,2440.71311798769,2435.02517168193,2523.24470611365,2602.9848206911
"286","MAX HUBER REPROTECNICA LTDA.","Las Condes",3,"APOQUINDO 4900-LOCAL 82",169,2,135,"LC","169_LC_2",2251.46774425699,2335.10289976385,2349.87572881043,2440.71311798769,2435.02517168193,2523.24470611365,2602.9848206911
"287","MINERA LAS CENIZAS S.A.","Providencia",2,"CORONEL 2354",171,2,65,"PR","171_PR_2",2252.45989962521,2339.36290232275,2367.28256936183,2449.2448863373,2437.50304428969,2526.37482581917,2604.61922226493
"288","MINIST DE DEFENSA SUBSEC INVEST","óu“oa",5,"AV JOSE PEDRO ALESSANDRI 1800",172,2,60,"NU","172_NU_2",2258.1176773732,2350.42463417032,2369.20830609919,2453.9849182246,2442.83678562973,2533.22782309469,2609.97059076018
"289","MINISTERIO DEL INTERIOR","Santiago",1,"PALACIO DE LA MONEDA OF.110",321,4,240,"SA","321_SA_4",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"290","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS  1235  P. 4",383,5,240,"SA","383_SA_5",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"291","MINISTERIO DEL INTERIOR","Providencia",2,"TORRES BOONEN 511 PISO 1",73,1,120,"PR","73_PR_1",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"292","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS 1235 P.8",72,1,195,"SA","72_SA_1",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"293","MINISTERIO DEL INTERIOR","Santiago",1,"PALACIO DE MONEDA GAB. SR MINISTRO",320,4,120,"SA","320_SA_4",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"294","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS 1235 PISO 3 OF.DERECHOS HUMANO",322,4,90,"SA","322_SA_4",2259.65636432331,2350.6823926787,2370.98912881944,2461.39314545986,2473.49671413861,2569.51108412211,2616.58744282596
"295","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"TEATINOS 20 OF.47",245,3,160,"SA","245_SA_3",2263.8430254453,2351.30693417724,2380.17070446283,2520.43670980061,2485.96199641155,2574.58499515074,2621.99749113525
"296","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"ALAMEDA 886 PISO 2 ALA NORTE",384,5,240,"SA","384_SA_5",2263.8430254453,2351.30693417724,2380.17070446283,2520.43670980061,2485.96199641155,2574.58499515074,2621.99749113525
"297","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"PALACIO MONEDA  P 4 DUPLICACION",323,4,120,"SA","323_SA_4",2263.8430254453,2351.30693417724,2380.17070446283,2520.43670980061,2485.96199641155,2574.58499515074,2621.99749113525
"298","MITSUI TRADING AND SERVICE LTDA.","Las Condes",3,"AV ANDRES BELLO 2711 P 11",246,3,100,"LC","246_LC_3",2266.54302728314,2352.37111195199,2380.66785909804,2529.92233047553,2494.74629042697,2607.50784577044,2622.77103209511
"299","MMRR.EE.DIR.RELAC.ECONOM.INTERNC","Santiago",1,"TEATINOS 20 P.9 PRO CHILE OF. 91",247,3,90,"SA","247_SA_3",2268.07556479949,2359.52559119558,2383.62350513365,2534.62589267421,2497.09845414775,2640.95344177998,2655.54040042466
"300","MONTRONE PLA S.A.","Santiago",1,"SANTA R0SA 2055 P 3 RRHH",74,1,60,"SA","74_SA_1",2271.68923763043,2360.41529285946,2384.2987608058,2540.22106074633,2505.52086416835,2647.43015108929,2678.06282760292
"301","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P10  DIR.ARQUITEC.OF.1015",75,1,75,"SA","75_SA_1",2274.16998542666,2360.67592373861,2386.49687274577,2545.46474631836,2528.8759086254,2654.2824656121,2710.34288468311
"302","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P 7 OF. DE PARTES",174,2,360,"SA","174_SA_2",2274.16998542666,2360.67592373861,2386.49687274577,2545.46474631836,2528.8759086254,2654.2824656121,2710.34288468311
"303","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P 10 EDIF.PUBLICA OF.1001",173,2,55,"SA","173_SA_2",2274.16998542666,2360.67592373861,2386.49687274577,2545.46474631836,2528.8759086254,2654.2824656121,2710.34288468311
"304","MOP DIRECCION GENERAL","Santiago",1,"BOMBERO SALAS 1351 P 7",175,2,90,"SA","175_SA_2",2274.16998542666,2360.67592373861,2386.49687274577,2545.46474631836,2528.8759086254,2654.2824656121,2710.34288468311
"305","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59  P4  (FISCALIA)",385,5,60,"SA","385_SA_5",2274.16998542666,2360.67592373861,2386.49687274577,2545.46474631836,2528.8759086254,2654.2824656121,2710.34288468311
"306","MULTINEGOCIOS S.A.","Santiago",1,"AGUSTINAS 785 P.9",248,3,60,"SA","248_SA_3",2276.55307372647,2366.34269387023,2390.36478558589,2545.68708399314,2529.96217035092,2670.11706050292,2726.23965307667
"307","MUTUAL DE SEGURIDAD C CH. C","Santiago",1,"ALAMEDA 4848  HOLL",176,2,90,"SA","176_SA_2",2278.79228620393,2367.55646865891,2392.18958984574,2546.31111472077,2542.4526154453,2676.6110745122,2730.73292355924
"308","MUTUALIDAD DEL EJERCITO Y AVIACION","Providencia",2,"AV. 11 DE SEPTIEMBRE 2336 P.2",177,2,50,"PR","177_PR_2",2282.2896918697,2371.95721378648,2399.29372419654,2550.61597027967,2550.35872458311,2685.93638625401,2745.7009913936
"309","NCR CHILE LTDA.","Santiago",1,"MIRAFLORES 383 P.17",249,3,75,"SA","249_SA_3",2282.70584299952,2378.49225885497,2403.6251966458,2551.23642444907,2565.97506875411,2694.51975999502,2760.85030633079
"310","NETCO LTDA.","Santiago",1,"EJERCITO LIBERTADOR 146 SALA MULTIUSO",76,1,100,"SA","76_SA_1",2283.2387579186,2380.6970853963,2405.96516988188,2556.01357914853,2636.73656119102,2696.25013982171,2778.29054346474
"311","NOTARIA PATRICIO RABY BENAVENTE","Santiago",1,"MONEDA 920 P 2 OF 205",250,3,60,"SA","250_SA_3",2285.27149330917,2389.5454124188,2414.17210843847,2556.24880003699,2644.8888381951,2726.51033568332,2816.40277595878
"312","NOTARIA PATRICIO RABY BENAVENTE","Santiago",1,"MONEDA 920 P 2 OF 205",77,1,120,"SA","77_SA_1",2285.27149330917,2389.5454124188,2414.17210843847,2556.24880003699,2644.8888381951,2726.51033568332,2816.40277595878
"313","NOVARTIS CHILE S.A.","óu“oa",5,"FRANCISCO MENESES 1980",178,2,20,"NU","178_NU_2",2285.45158173578,2389.92956925903,2420.82004441157,2556.46656458412,2651.60875327566,2728.818507451,2829.74860473487
"314","OLIMPIA  SCHNEIDER MOENNE-LOCCOZ","Santiago",1,"HUERFANOS 1055 LOCAL 328",324,4,130,"SA","324_SA_4",2286.65718180381,2390.24886012698,2422.10483265201,2564.65458090563,2661.28058021163,2754.97652249606,2846.55030910666
"315","PARIS CORREDORES DE SEGUROS LTDA.","Providencia",2,"RICARDO LYON 222 P9 OF 901",325,4,180,"PR","325_PR_4",2290.80435385442,2396.10736892971,2424.38190432616,2581.39992088965,2667.91306019115,2777.48200162378,2848.51373334254
"316","PATINO SABAG EDUARDO","Santiago",1,"COMPA?IA 1390 OF. 909",386,5,90,"SA","386_SA_5",2290.81463189443,2409.51474432892,2435.02598766657,2588.85653635751,2672.1330785846,2791.74264722576,2848.71373422662
"317","PATRONATO NAC. DE LA INFANCIA","Providencia",2,"PEDRO DE VALDIVIA 844",179,2,100,"PR","179_PR_2",2294.66188381587,2411.98787965279,2460.89048371612,2589.40481235128,2683.24215086006,2793.92881755,2873.05524409485
"318","PCS-CORP","Providencia",2,"11 DE SEPTIEMBRE 2155 OF. 903, TORRE A",251,3,60,"PR","251_PR_3",2296.75083743322,2412.49876804473,2473.89258290001,2595.59636532965,2690.72848929639,2798.68408394769,2904.60129698552
"319","PIRELLI NEUMATICOS","Las Condes",3,"AV. NVA TAJAMAR 555  OF 302",180,2,60,"LC","180_LC_2",2301.90490695329,2420.3226236949,2477.23761791513,2596.79642291157,2696.99287296272,2799.43977283821,2911.76386203614
"320","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"LIRA 41 DPTO 5    (130)",326,4,1,"SA","326_SA_4",2307.62645279918,2421.41654930542,2477.95324349622,2603.19770327454,2704.53563481049,2814.97112302061,2925.45426340289
"321","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"EL COMENDADOR 1946 ADM.CAMPUS LO CONTADO",78,1,60,"SA","78_SA_1",2307.62645279918,2421.41654930542,2477.95324349622,2603.19770327454,2704.53563481049,2814.97112302061,2925.45426340289
"322","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"MARCOLETA 345 P 2 B. SANGRE (320)",79,1,100,"SA","79_SA_1",2307.62645279918,2421.41654930542,2477.95324349622,2603.19770327454,2704.53563481049,2814.97112302061,2925.45426340289
"323","PONTIFICIA UNIVERSIDAD CATOLICA","Las Condes",3,"MALL ALTO LAS CONDES LOCAL 1106",181,2,120,"LC","181_LC_2",2307.62645279918,2421.41654930542,2477.95324349622,2603.19770327454,2704.53563481049,2814.97112302061,2925.45426340289
"324","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"MARCOLETA 352  SALUD PUBLICA P1(670)",252,3,55,"SA","252_SA_3",2307.62645279918,2421.41654930542,2477.95324349622,2603.19770327454,2704.53563481049,2814.97112302061,2925.45426340289
"325","PORTA SYSTEMS CHILE","Santiago",1,"LIVINGSTONE 72",387,5,90,"SA","387_SA_5",2312.86451534937,2435.14268515305,2478.54588329105,2624.43888320949,2713.89470956208,2816.72553576557,2961.79900562768
"326","PRECISION HISPANA","Santiago",1,"EJERCITO 521 PISO 2",80,1,90,"SA","80_SA_1",2314.53593531662,2439.31748187045,2483.7281808453,2633.96307054673,2714.17134752294,2833.00942097164,2974.69606715389
"327","PREFECTURA CARABINEROS SANTIAGO CENTRO","Santiago",1,"STO DOMINGO 714 1 COMIS STGO",81,1,60,"SA","81_SA_1",2315.2883452097,2453.30260543727,2485.51396561497,2634.08546147791,2720.71148251773,2847.62582459649,3006.23423637438
"328","PRESIDENCIA DE LA REPUBLICA","Santiago",1,"NUEVA YORK 9 PISO 17",388,5,60,"SA","388_SA_5",2316.93209270502,2454.99404776645,2489.59366139842,2634.54766904581,2721.230242035,2852.68556679366,3032.93336586651
"329","PROCESOS INTEGRALES VIVACOOP S.A.","Santiago",1,"AHUMADA 341 PISO 6",389,5,90,"SA","389_SA_5",2318.1732903847,2457.8729832075,2490.32877864367,2645.40960072192,2721.37906581944,2889.4820108077,3083.97672292395
"330","PROCESOS INTEGRALES VIVACOOP S.A.","Santiago",1,"AHUMADA 341 PISO 6",253,3,60,"SA","253_SA_3",2318.1732903847,2457.8729832075,2490.32877864367,2645.40960072192,2721.37906581944,2889.4820108077,3083.97672292395
"331","PROSPECTA S.A.","Vitacura",4,"VITACURA 2736 P-18",82,1,30,"VI","82_VI_1",2319.11029269702,2467.76807522863,2491.03749356371,2645.91764035018,2722.94613935128,2903.93369818057,3086.21479872877
"332","PUBLICITARIA SUTIL Y ASOCIADOS S.A","Las Condes",3,"SAN SEBASTIAN 2909 OF 101",390,5,180,"LC","390_LC_5",2324.12898911148,2468.38459203752,2517.25372005475,2647.97122229615,2724.7170964275,2924.71352110153,3120.78999043221
"333","RED DE TELEVISION CHILEVISION S. A.","Providencia",2,"INES MATTE URREJOLA 0825",255,3,150,"PR","255_PR_3",2329.91187469326,2476.67211349136,2536.16558393141,2651.99081015087,2731.94767858051,2964.61085040532,3158.27533180808
"334","RED DE TELEVISION CHILEVISION S. A.","Providencia",2,"INES MATTE URREJOLA 0825",254,3,60,"PR","254_PR_3",2329.91187469326,2476.67211349136,2536.16558393141,2651.99081015087,2731.94767858051,2964.61085040532,3158.27533180808
"335","RENE WIEGAND KOCH Y CIA LTDA","Providencia",2,"PIO NONO 1  PISO 4 FAC.DERECHO",256,3,90,"PR","256_PR_3",2331.16038389878,2478.07840127212,2539.48666049662,2680.81782538728,2740.29362064556,2980.09098693355,3163.32540431963
"336","ROENSA S.A.","Santiago",1,"NATANIEL COX 1481",257,3,5,"SA","257_SA_3",2334.33370697693,2487.53090228474,2557.60539828747,2688.65329824501,2745.87945251015,2992.28299305299,3167.847499833
"337","RUIZ RUIZ ANGEL GASPAR","Santiago",1,"MIRAFLORES 211",258,3,120,"SA","258_SA_3",2335.61871554677,2488.0535949566,2557.92640633592,2697.58568050492,2753.20273257333,3010.97008059868,3173.45078534515
"338","RUIZ RUIZ ANGEL GASPAR","Santiago",1,"MIRAFLORES 211",83,1,240,"SA","83_SA_1",2335.61871554677,2488.0535949566,2557.92640633592,2697.58568050492,2753.20273257333,3010.97008059868,3173.45078534515
"339","S.A.C.I. FALABELLA","Santiago",1,"ROSAS 1665 P.2 GCIA. ADM. Y FINANZAS",327,4,120,"SA","327_SA_4",2343.47527884349,2489.70639814552,2558.35109428503,2713.79526126687,2755.86645130317,3024.99986400383,3189.45760826144
"340","SAC  CHILE S.A.","Las Condes",3,"SAN SEBASTIAN 2839",84,1,15,"LC","84_LC_1",2345.62100279462,2491.24695815572,2565.79578111416,2714.13939540683,2781.01587661129,3034.98039489088,3191.76035689574
"341","SALCOBRAND S.A.","Providencia",2,"COYANCURA  2283  OF. 1502",85,1,70,"PR","85_PR_1",2357.55164659279,2493.69953535868,2573.45028663121,2722.97711800546,2783.90130832456,3040.98814834725,3219.08522607589
