"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"230","I. MUNICIPALIDAD DE VITACURA","Vitacura",4,"SANCHO DE LA HOZ 3470 DIREC.DE OPERACI",236,3,90,"VI","236_VI_3",21571.0764124465,21870.4885821176,21317.4697950088,22529.2813314527,21287.7235697878,22068.755271197,22424.1916755529
"231","I.MUNICIPALIDAD DE PROVIDENCIA","Providencia",2,"P DE VALDIVIA 963  DEPTO CATASTRO",308,4,30,"PR","308_PR_4",21588.4599827027,21923.4115795936,21394.7866998802,22529.3880025975,21382.8218391115,22084.242436016,22444.8434509229
"232","I.MUNICIPALIDAD DE PROVIDENCIA","Providencia",2,"PEDRO DE VALDIVIA 963.DIREC.PROTEC CIVIL",237,3,70,"PR","237_PR_3",21588.4599827027,21923.4115795936,21394.7866998802,22529.3880025975,21382.8218391115,22084.242436016,22444.8434509229
"233","I.MUNICIPALIDAD DE SANTIAGO","Santiago",1,"BALMACEDA  1114  3P",159,2,55,"SA","159_SA_2",21602.3876914838,21963.0013138127,21443.3117489571,22570.1610936366,21517.0342412176,22099.0928603963,22490.5585235625
"234","I.MUNICIPALIDAD DE SANTIAGO","Santiago",1,"STO DOMINGO 916 PISO 7 OF.703 CENT.FOTO",51,1,90,"SA","51_SA_1",21602.3876914838,21963.0013138127,21443.3117489571,22570.1610936366,21517.0342412176,22099.0928603963,22490.5585235625
"235","IMAX S. A.","Providencia",2,"PADRE MARIANO 277 P 3",160,2,60,"PR","160_PR_2",21604.6053077855,22021.5523245609,21502.7662365115,22573.9765807638,21540.7960745575,22121.4582616545,22491.0239478844
"236","IMPRESORA Y COMERCIAL TIEMPO FUTURO SA","Providencia",2,"ALMIRANTE PASTENE 259",309,4,60,"PR","309_PR_4",21637.6072391154,22040.032609206,21539.5302731979,22610.2373005026,21558.7687430171,22158.8894227336,22492.9330066224
"237","IMPRESORA Y COMERCIAL TIEMPO FUTURO SA","Providencia",2,"ALMIRANTE PASTENE 259",310,4,120,"PR","310_PR_4",21637.6072391154,22040.032609206,21539.5302731979,22610.2373005026,21558.7687430171,22158.8894227336,22492.9330066224
"238","INACAP","Las Condes",3,"AV. APOQUINDO 7282 P-3 SALA DE PROF.",161,2,180,"LC","161_LC_2",21660.5694271239,22045.8990100277,21610.4388162513,22614.8953484281,21700.7731228907,22230.7140127649,22503.4011270848
"239","INDUSTRIA TEXTIL MONARCH S.A.","Santiago",1,"VICUNA MACKENNA 1215 PISO 3",238,3,60,"SA","238_SA_3",21691.1621198566,22111.4387703911,21648.8395462082,22628.3172806942,21753.0920411213,22316.9865557189,22611.4300614871
"240","ING SALUD ISAPRE","Santiago",1,"MIRAFLORES 222 E/P",162,2,1,"SA","162_SA_2",21730.3382184616,22139.0848215839,21680.533728808,22675.2400425446,21873.8736562124,22368.6292272665,22680.7203681482
"241","ING SALUD S.A.","Santiago",1,"MORANDE 325 SUBTERRANEO",239,3,180,"SA","239_SA_3",21761.175618314,22159.5096811482,21685.4974331094,22738.2496606761,22052.4056159894,22462.379292122,22920.5395467459
"242","ING SEGUROS DE VIDA S.A.","Providencia",2,"COYANCURA 2283",52,1,30,"PR","52_PR_1",21761.6623324992,22275.0618537481,21806.1280424056,22789.4722296422,22054.3973629797,22548.8572680779,22924.3164144032
"243","ING SEGUROS DE VIDA S.A.","Providencia",2,"COYANCURA 2283",240,3,60,"PR","240_PR_3",21761.6623324992,22275.0618537481,21806.1280424056,22789.4722296422,22054.3973629797,22548.8572680779,22924.3164144032
"244","INGENIERIA ELECTRICA VOLTA LTDA.","óu“oa",5,"JOSE MANUEL INFANTE 2670",53,1,90,"NU","53_NU_1",21829.7463569056,22369.944398346,21864.7895566539,22834.8057153259,22083.7595026121,22558.3606204711,22951.9856045233
"245","INGENIERIA Y CONST. KODAMA LTDA.","Providencia",2,"AVDA ELIODORO YA?EZ 1198",311,4,60,"PR","311_PR_4",21933.5767694203,22381.0331152646,21907.4175335331,22889.0001182202,22292.1527161933,22622.6902805259,23020.5235622031
"246","INMOBIL. E INVERSIONES RUCA S.A.","Santiago",1,"MAC IVER 225 OF 302",241,3,20,"SA","241_SA_3",21944.0535060157,22405.7596572034,21910.1378479186,22908.0200757058,22370.3221989017,22847.1242752364,23192.0665969969
"247","INMOBILIARIA NORTE VERDE S.A.","Las Condes",3,"ENRIQUE FOSTER SUR 20 PISO 14",55,1,60,"LC","55_LC_1",22000.3342651277,22412.6367679769,21936.5443796901,22923.2267385548,22384.0089820079,22922.5542861107,23440.9435024672
"248","INMOBILIARIA NORTE VERDE S.A.","Las Condes",3,"ENRIQUE FOSTER SUR 20 PISO 14",54,1,60,"LC","54_LC_1",22000.3342651277,22412.6367679769,21936.5443796901,22923.2267385548,22384.0089820079,22922.5542861107,23440.9435024672
"249","INSTITUTO DE ESTUDIOS GRAFICOS DE CHILE","Providencia",2,"CANADA 253  OF A  2257706",312,4,50,"PR","312_PR_4",22011.6650997419,22492.9415213473,21944.8756454766,23076.1346639844,22577.7596599502,22995.8934616474,23656.0162481822
"250","INSTITUTO HEBREO S.A.","Las Condes",3,"AV.LAS CONDES 13450",56,1,150,"LC","56_LC_1",22030.1651760477,22519.4737427145,22173.1907405222,23087.269523566,22606.7859968262,23020.6442121843,23656.7454335495
"251","INSTITUTO NACIONAL DE DEPORTES","Providencia",2,"FIDEL OTEIZA 1956 P.3",313,4,50,"PR","313_PR_4",22052.9669547795,22524.3609411183,22227.0656707749,23246.3929975928,22673.8291917612,23109.0828828736,23754.1656639835
"252","INSTITUTO NACIONAL DE DEPORTES","Providencia",2,"FIDEL OTEIZA 1956  P.8",163,2,120,"PR","163_PR_2",22052.9669547795,22524.3609411183,22227.0656707749,23246.3929975928,22673.8291917612,23109.0828828736,23754.1656639835
"253","INTERPLUS S.A.","óu“oa",5,"JOSE P.ALESSANDRI 1800",164,2,90,"NU","164_NU_2",22080.2997081662,22616.5976023565,22227.7796204741,23295.4854370668,22686.3846958176,23132.8015534668,23951.6632034589
"254","INVERSIONES Y SERVICIOS S.A.","Santiago",1,"HUERFANOS 979 P 7",314,4,20,"SA","314_SA_4",22088.1520002833,22619.86060842,22236.0454461716,23298.7656703911,22693.6479888422,23372.1079771319,24061.2267446541
"255","ISAPRE COLMENA GOLDEN CROSS S.A.","Las Condes",3,"APOQUINDO 5009 DPTO DE OPERACIONES",380,5,234,"LC","380_LC_5",22176.0056842235,22672.3085044276,22321.8919016435,23400.0344886232,22797.1348760975,23404.2476482998,24278.5602608422
"256","ISAPRE CONSALUD S.A.","Santiago",1,"ALAMEDA 1511 P.7",59,1,60,"SA","59_SA_1",22184.7073581857,22746.7022536208,22336.6605970604,23536.4164071131,22822.9915018899,23439.8956909057,24363.1336949009
"257","ISAPRE CONSALUD S.A.","Santiago",1,"SAN MARTIN 30 PISO 1",57,1,60,"SA","57_SA_1",22184.7073581857,22746.7022536208,22336.6605970604,23536.4164071131,22822.9915018899,23439.8956909057,24363.1336949009
"258","ISAPRE CONSALUD S.A.","Santiago",1,"ALAMEDA 1511 P.7",58,1,60,"SA","58_SA_1",22184.7073581857,22746.7022536208,22336.6605970604,23536.4164071131,22822.9915018899,23439.8956909057,24363.1336949009
"259","ISAPRE PROMEPART","Santiago",1,"MERCED 280 PISO 3",165,2,120,"SA","165_SA_2",22238.7872605013,22813.4666371705,22517.5411122307,23539.2870489902,22908.2437485516,23521.597363111,24479.2419985969
"260","ISE LAS AMERICAS CIA DE SEG DE VIDA S.A.","Las Condes",3,"AV. EL BOSQUE NORTE 0177 OF. 602",60,1,90,"LC","60_LC_1",22272.4190876387,22848.877141269,22530.6086132782,23568.7257062662,23009.629223637,23524.4177443766,24496.8122459088
"261","JOHNSON`S S.A.","Santiago",1,"óUBLE   1055  P. 2",167,2,60,"SA","167_SA_2",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"262","JOHNSON`S S.A.","Santiago",1,"AGUSTINAS 978",64,1,10,"SA","64_SA_1",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"263","JOHNSON`S S.A.","Santiago",1,"AHUMADA 55 PISO 2",62,1,150,"SA","62_SA_1",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"264","JOHNSON`S S.A.","Santiago",1,"NUBLE 1034 PISO 2",61,1,30,"SA","61_SA_1",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"265","JOHNSON`S S.A.","Santiago",1,"AVDA. KENNEDY 5413 L-123",166,2,40,"SA","166_SA_2",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"266","JOHNSON`S S.A.","Santiago",1,"óUBLE 1008 REC HUMANOS",65,1,30,"SA","65_SA_1",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"267","JOHNSON`S S.A.","Santiago",1,"MATIAS COUSIóO  64 E P OF 1",63,1,75,"SA","63_SA_1",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"268","JOHNSON`S S.A.","Santiago",1,"SAN DIEGO 1856 PISO 2 AUDITORIA",381,5,60,"SA","381_SA_5",22323.5927904126,22854.5188312676,22556.4424579212,23595.1914369736,23097.3988726744,23550.4888425622,24603.3368291666
"269","KOCH INGENIERIA (CHILE) LTDA.","Las Condes",3,"EL BOSQUE NORTE 0440 OF.1202",242,3,40,"LC","242_LC_3",22331.2792321142,22866.8375181523,22579.311754281,23596.0067464898,23102.9170075363,23592.2336820147,24685.2682203058
"270","KPMG JERIA Y ASOC. AUDIT. CONSULT. LTDA.","Santiago",1,"MONJITAS 527 PISO 13 OF 1304",315,4,180,"SA","315_SA_4",22349.5298229218,22916.339924189,22623.575818114,23642.7025293548,23225.7618173986,23645.2493515389,24763.070244727
"271","LABORATORIO CHILE S.A.","óu“oa",5,"AV MARATON 1315",316,4,60,"NU","316_NU_4",22402.028457598,22929.2373869785,22726.2522553461,23753.7491784971,23316.8852161872,23782.2647931804,24774.4635827238
"272","LABORATORIO RECALCINE","Providencia",2,"PEDRO DE VALDIVIA 428",66,1,75,"PR","66_PR_1",22414.2114110086,22960.3417334966,22892.8959928129,23820.5022705082,23480.2327924317,23785.0901375298,24788.2791277767
"273","LABORATORIO RIDER S.A.","Santiago",1,"PLACER 1354  PISO 2",168,2,60,"SA","168_SA_2",22445.9871132768,23051.9101791514,22951.091765159,23860.4955171963,23597.3859852416,24050.3937577721,24925.4792438836
"274","LAS AGUILAS LTDA.","Santiago",1,"BANDERA 84 P2 OF 215",67,1,60,"SA","67_SA_1",22453.8137181105,23076.7754573876,23078.2031315227,23924.1412479261,23603.877624401,24227.547643585,24938.5100091585
"275","LE MANS ISE CIA.DE SEG.GENERALES S.A.","Las Condes",3,"ENCOMENDEROS 138",317,4,45,"LC","317_LC_4",22458.6903735941,23129.6109321996,23085.8075389935,23999.3592401919,23883.4881002579,24240.0867233411,24977.0463780608
"276","LEXIS NEXIS CHILE LTDA","Santiago",1,"MIRAFLORES 383 P.12",243,3,120,"SA","243_SA_3",22477.254858351,23219.6230040446,23155.3080682515,24174.5262178281,23997.8977772395,24340.223121612,25036.5010194123
"277","LEXIS NEXIS CHILE LTDA","Santiago",1,"MIRAFLORES  383 PISO 12",318,4,240,"SA","318_SA_4",22477.254858351,23219.6230040446,23155.3080682515,24174.5262178281,23997.8977772395,24340.223121612,25036.5010194123
"278","LIBRERIA GONZALEZ Y ASPE LTDA","Santiago",1,"LIRA 192 LOCAL G",68,1,120,"SA","68_SA_1",22486.0359621401,23262.4445916751,23189.9830581319,24207.4999410425,24222.8301346798,24388.4621787283,25429.5967939571
"279","LOPEZ MARTINEZ MARIA EUGENIA","Vitacura",4,"VITACURA 8400 LOCAL   D",69,1,60,"VI","69_VI_1",22502.6594196634,23285.6629832872,23278.1928615754,24254.6409096487,24277.3636105503,24585.6306201429,25707.3648435987
"280","MANQUEHUE NET S.A.","Providencia",2,"11 DE SEPTIEMBRE 2260 LOC 51",382,5,30,"PR","382_PR_5",22508.4498122633,23315.0418605095,23288.0513191863,24258.1334199938,24279.0459331225,24915.0930911762,25873.3696033694
"281","MARIANA THOMSEN Y CIA.LTDA.","Providencia",2,"MANUEL MONTT 2000",319,4,90,"PR","319_PR_4",22521.8842695422,23333.5924823458,23361.4695184611,24317.991430436,24303.5272065156,24956.0886022722,25929.6721165773
"282","MAX HUBER REPROTECNICA LTDA.","Providencia",2,"GENERAL DEL CANTO 276",71,1,520,"PR","71_PR_1",22528.0855849343,23364.9352115718,23512.7514785124,24421.6663332408,24364.752996816,25247.4737140061,26045.3497352529
"283","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MIRAFLORES 109",70,1,180,"SA","70_SA_1",22528.0855849343,23364.9352115718,23512.7514785124,24421.6663332408,24364.752996816,25247.4737140061,26045.3497352529
"284","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MIRAFLORES 109",170,2,120,"SA","170_SA_2",22528.0855849343,23364.9352115718,23512.7514785124,24421.6663332408,24364.752996816,25247.4737140061,26045.3497352529
"285","MAX HUBER REPROTECNICA LTDA.","Santiago",1,"MONEDA 1045",244,3,80,"SA","244_SA_3",22528.0855849343,23364.9352115718,23512.7514785124,24421.6663332408,24364.752996816,25247.4737140061,26045.3497352529
"286","MAX HUBER REPROTECNICA LTDA.","Las Condes",3,"APOQUINDO 4900-LOCAL 82",169,2,135,"LC","169_LC_2",22528.0855849343,23364.9352115718,23512.7514785124,24421.6663332408,24364.752996816,25247.4737140061,26045.3497352529
"287","MINERA LAS CENIZAS S.A.","Providencia",2,"CORONEL 2354",171,2,65,"PR","171_PR_2",22538.013047189,23407.5606067096,23686.9235468022,24507.0348258879,24389.5464793424,25278.7935518304,26061.7034843258
"288","MINIST DE DEFENSA SUBSEC INVEST","óu“oa",5,"AV JOSE PEDRO ALESSANDRI 1800",172,2,60,"NU","172_NU_2",22594.6245183738,23518.2438010016,23706.1923824957,24554.4633730234,24442.9156567171,25347.3643361688,26115.2490382272
"289","MINISTERIO DEL INTERIOR","Santiago",1,"PALACIO DE LA MONEDA OF.110",321,4,240,"SA","321_SA_4",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"290","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS  1235  P. 4",383,5,240,"SA","383_SA_5",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"291","MINISTERIO DEL INTERIOR","Providencia",2,"TORRES BOONEN 511 PISO 1",73,1,120,"PR","73_PR_1",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"292","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS 1235 P.8",72,1,195,"SA","72_SA_1",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"293","MINISTERIO DEL INTERIOR","Santiago",1,"PALACIO DE MONEDA GAB. SR MINISTRO",320,4,120,"SA","320_SA_4",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"294","MINISTERIO DEL INTERIOR","Santiago",1,"AGUSTINAS 1235 PISO 3 OF.DERECHOS HUMANO",322,4,90,"SA","322_SA_4",22610.0205512012,23520.8229211119,23724.0112150131,24628.5897635143,24749.6975305581,25710.4130237688,26181.456964155
"295","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"TEATINOS 20 OF.47",245,3,160,"SA","245_SA_3",22651.9120952004,23527.0720554228,23815.8816503887,25219.3770284444,24874.4245876529,25761.1823506645,26235.5896656522
"296","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"ALAMEDA 886 PISO 2 ALA NORTE",384,5,240,"SA","384_SA_5",22651.9120952004,23527.0720554228,23815.8816503887,25219.3770284444,24874.4245876529,25761.1823506645,26235.5896656522
"297","MINISTERIO SECRETARIA GRAL. DE GOBIERNO","Santiago",1,"PALACIO MONEDA  P 4 DUPLICACION",323,4,120,"SA","323_SA_4",22651.9120952004,23527.0720554228,23815.8816503887,25219.3770284444,24874.4245876529,25761.1823506645,26235.5896656522
"298","MITSUI TRADING AND SERVICE LTDA.","Las Condes",3,"AV ANDRES BELLO 2711 P 11",246,3,100,"LC","246_LC_3",22678.9281928715,23537.720170657,23820.8561574406,25314.2897248115,24962.3198408217,26090.6069219703,26243.3296819112
"299","MMRR.EE.DIR.RELAC.ECONOM.INTERNC","Santiago",1,"TEATINOS 20 P.9 PRO CHILE OF. 91",247,3,90,"SA","247_SA_3",22694.2626947397,23609.3075700886,23850.4302195247,25361.3533578732,24985.8554858455,26425.2620602746,26571.218516284
"300","MONTRONE PLA S.A.","Santiago",1,"SANTA R0SA 2055 P 3 RRHH",74,1,60,"SA","74_SA_1",22730.4209435172,23618.2098851584,23857.1867975893,25417.3383594404,25070.1297439421,26490.0677240471,26796.5769156421
"301","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P10  DIR.ARQUITEC.OF.1015",75,1,75,"SA","75_SA_1",22755.243195051,23620.8177460823,23879.1810073821,25469.8064428267,25303.8192745651,26558.6316767923,27119.5697235312
"302","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P 7 OF. DE PARTES",174,2,360,"SA","174_SA_2",22755.243195051,23620.8177460823,23879.1810073821,25469.8064428267,25303.8192745651,26558.6316767923,27119.5697235312
"303","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59 P 10 EDIF.PUBLICA OF.1001",173,2,55,"SA","173_SA_2",22755.243195051,23620.8177460823,23879.1810073821,25469.8064428267,25303.8192745651,26558.6316767923,27119.5697235312
"304","MOP DIRECCION GENERAL","Santiago",1,"BOMBERO SALAS 1351 P 7",175,2,90,"SA","175_SA_2",22755.243195051,23620.8177460823,23879.1810073821,25469.8064428267,25303.8192745651,26558.6316767923,27119.5697235312
"305","MOP DIRECCION GENERAL","Santiago",1,"MORANDE 59  P4  (FISCALIA)",385,5,60,"SA","385_SA_5",22755.243195051,23620.8177460823,23879.1810073821,25469.8064428267,25303.8192745651,26558.6316767923,27119.5697235312
"306","MULTINEGOCIOS S.A.","Santiago",1,"AGUSTINAS 785 P.9",248,3,60,"SA","248_SA_3",22779.08827003,23677.5191946555,23917.8831703243,25472.0311436597,25314.6883608234,26717.0719252983,27278.6320773258
"307","MUTUAL DE SEGURIDAD C CH. C","Santiago",1,"ALAMEDA 4848  HOLL",176,2,90,"SA","176_SA_2",22801.4937299633,23689.6641709226,23936.1420801605,25478.2751672196,25439.6671959845,26782.0507391249,27323.5915408783
"308","MUTUALIDAD DEL EJERCITO Y AVIACION","Providencia",2,"AV. 11 DE SEPTIEMBRE 2336 P.2",177,2,50,"PR","177_PR_2",22836.4886146845,23733.6978299098,24007.2257308457,25521.3493594701,25518.7753705319,26875.3593914747,27473.3613584
"309","NCR CHILE LTDA.","Santiago",1,"MIRAFLORES 383 P.17",249,3,75,"SA","249_SA_3",22840.6526042831,23799.0871986805,24050.566250511,25527.5575961484,25675.0318120934,26961.244245361,27624.9447263291
"310","NETCO LTDA.","Santiago",1,"EJERCITO LIBERTADOR 146 SALA MULTIUSO",76,1,100,"SA","76_SA_1",22845.9849271366,23821.1485944743,24073.97991809,25575.3575924824,26383.0681416401,26978.5583485408,27799.4509593308
"311","NOTARIA PATRICIO RABY BENAVENTE","Santiago",1,"MONEDA 920 P 2 OF 205",250,3,60,"SA","250_SA_3",22866.3243865702,23909.6845590489,24156.0981783514,25577.7112021756,26464.639460851,27281.3405153855,28180.8002536517
"312","NOTARIA PATRICIO RABY BENAVENTE","Santiago",1,"MONEDA 920 P 2 OF 205",77,1,120,"SA","77_SA_1",22866.3243865702,23909.6845590489,24156.0981783514,25577.7112021756,26464.639460851,27281.3405153855,28180.8002536517
"313","NOVARTIS CHILE S.A.","óu“oa",5,"FRANCISCO MENESES 1980",178,2,20,"NU","178_NU_2",22868.126343315,23913.5284152164,24222.6171284661,25579.8901444978,26531.8786306968,27304.4359788936,28314.3380196875
"314","OLIMPIA  SCHNEIDER MOENNE-LOCCOZ","Santiago",1,"HUERFANOS 1055 LOCAL 328",324,4,130,"SA","324_SA_4",22880.1895236927,23916.7232253655,24235.4726621565,25661.8190697211,26628.6544985865,27566.1719078982,28482.45512242
"315","PARIS CORREDORES DE SEGUROS LTDA.","Providencia",2,"RICARDO LYON 222 P9 OF 901",325,4,180,"PR","325_PR_4",22921.6859418093,23975.3432025091,24258.2569395192,25829.3721929098,26695.0187967206,27791.3607258204,28502.1010575388
"316","PATINO SABAG EDUARDO","Santiago",1,"COMPA?IA 1390 OF. 909",386,5,90,"SA","386_SA_5",22921.7887834181,24109.4968013041,24364.7611615218,25903.9827538927,26737.2441120866,27934.0521081142,28504.1022574427
"317","PATRONATO NAC. DE LA INFANCIA","Providencia",2,"PEDRO DE VALDIVIA 844",179,2,100,"PR","179_PR_2",22960.2842141317,24134.2428827797,24623.5601525807,25909.4687789726,26848.4009925833,27955.9268306339,28747.6623168647
"318","PCS-CORP","Providencia",2,"11 DE SEPTIEMBRE 2155 OF. 903, TORRE A",251,3,60,"PR","251_PR_3",22981.186190629,24139.3548091874,24753.6585756851,25971.4211812472,26923.3089602598,28003.5078135992,29063.3107116511
"319","PIRELLI NEUMATICOS","Las Condes",3,"AV. NVA TAJAMAR 555  OF 302",180,2,60,"LC","180_LC_2",23032.757579806,24217.6399590151,24787.1288464885,25983.4289037568,26985.9901031418,28011.0692028506,29134.9790173062
"320","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"LIRA 41 DPTO 5    (130)",326,4,1,"SA","326_SA_4",23090.0071117272,24228.5857297639,24794.289364057,26047.4798288647,27061.4626409504,28166.4751983622,29271.9645612781
"321","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"EL COMENDADOR 1946 ADM.CAMPUS LO CONTADO",78,1,60,"SA","78_SA_1",23090.0071117272,24228.5857297639,24794.289364057,26047.4798288647,27061.4626409504,28166.4751983622,29271.9645612781
"322","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"MARCOLETA 345 P 2 B. SANGRE (320)",79,1,100,"SA","79_SA_1",23090.0071117272,24228.5857297639,24794.289364057,26047.4798288647,27061.4626409504,28166.4751983622,29271.9645612781
"323","PONTIFICIA UNIVERSIDAD CATOLICA","Las Condes",3,"MALL ALTO LAS CONDES LOCAL 1106",181,2,120,"LC","181_LC_2",23090.0071117272,24228.5857297639,24794.289364057,26047.4798288647,27061.4626409504,28166.4751983622,29271.9645612781
"324","PONTIFICIA UNIVERSIDAD CATOLICA","Santiago",1,"MARCOLETA 352  SALUD PUBLICA P1(670)",252,3,55,"SA","252_SA_3",23090.0071117272,24228.5857297639,24794.289364057,26047.4798288647,27061.4626409504,28166.4751983622,29271.9645612781
"325","PORTA SYSTEMS CHILE","Santiago",1,"LIVINGSTONE 72",387,5,90,"SA","387_SA_5",23142.4189314083,24365.9288313539,24800.2192913469,26260.0181255913,27155.1091244665,28184.0297738477,29635.6284269901
"326","PRECISION HISPANA","Santiago",1,"EJERCITO 521 PISO 2",80,1,90,"SA","80_SA_1",23159.1430848708,24407.7016606512,24852.0731289719,26355.3167182572,27157.8771515343,28346.9656011601,29764.6758479881
"327","PREFECTURA CARABINEROS SANTIAGO CENTRO","Santiago",1,"STO DOMINGO 714 1 COMIS STGO",81,1,60,"SA","81_SA_1",23166.6716646203,24547.6361817798,24869.941611534,26356.5413564425,27223.3174498799,28493.2166823246,30080.2453591232
"328","PRESIDENCIA DE LA REPUBLICA","Santiago",1,"NUEVA YORK 9 PISO 17",388,5,60,"SA","388_SA_5",23183.1189285658,24564.5606781005,24910.7628651383,26361.1661847014,27228.5081344157,28543.8442365262,30347.3956550918
"329","PROCESOS INTEGRALES VIVACOOP S.A.","Santiago",1,"AHUMADA 341 PISO 6",389,5,90,"SA","389_SA_5",23195.5382970543,24593.3671774052,24918.1184154268,26469.8501874109,27229.9972585488,28912.0278101457,30858.1332036378
"330","PROCESOS INTEGRALES VIVACOOP S.A.","Santiago",1,"AHUMADA 341 PISO 6",253,3,60,"SA","253_SA_3",23195.5382970543,24593.3671774052,24918.1184154268,26469.8501874109,27229.9972585488,28912.0278101457,30858.1332036378
"331","PROSPECTA S.A.","Vitacura",4,"VITACURA 2736 P-18",82,1,30,"VI","82_VI_1",23204.9139002976,24692.3770257548,24925.2097852299,26474.9336092165,27245.6773262439,29056.6307478573,30880.5272900755
"332","PUBLICITARIA SUTIL Y ASOCIADOS S.A","Las Condes",3,"SAN SEBASTIAN 2909 OF 101",390,5,180,"LC","390_LC_5",23255.1307522325,24698.5458653799,25187.5281753602,26495.4816583514,27263.3974435683,29264.5527269295,31226.4851123883
"333","RED DE TELEVISION CHILEVISION S. A.","Providencia",2,"INES MATTE URREJOLA 0825",255,3,150,"PR","255_PR_3",23312.9940468085,24781.4704345082,25376.7594397525,26535.7014747082,27335.7463253089,29663.7636201164,31601.5617622093
"334","RED DE TELEVISION CHILEVISION S. A.","Providencia",2,"INES MATTE URREJOLA 0825",254,3,60,"PR","254_PR_3",23312.9940468085,24781.4704345082,25376.7594397525,26535.7014747082,27335.7463253089,29663.7636201164,31601.5617622093
"335","RENE WIEGAND KOCH Y CIA LTDA","Providencia",2,"PIO NONO 1  PISO 4 FAC.DERECHO",256,3,90,"PR","256_PR_3",23325.4865740976,24795.5416871668,25409.9899833772,26824.1433002953,27419.255448461,29818.6571740943,31652.092561969
"336","ROENSA S.A.","Santiago",1,"NATANIEL COX 1481",257,3,5,"SA","257_SA_3",23357.2387029368,24890.1229896736,25591.2852636158,26902.5446913823,27475.1470323531,29940.6498422154,31697.3404474909
"337","RUIZ RUIZ ANGEL GASPAR","Santiago",1,"MIRAFLORES 211",258,3,120,"SA","258_SA_3",23370.0964412334,24895.3530291784,25594.4972557961,26991.9217089043,27548.4234452383,30127.6320046898,31753.4066718
"338","RUIZ RUIZ ANGEL GASPAR","Santiago",1,"MIRAFLORES 211",83,1,240,"SA","83_SA_1",23370.0964412334,24895.3530291784,25594.4972557961,26991.9217089043,27548.4234452383,30127.6320046898,31753.4066718
"339","S.A.C.I. FALABELLA","Santiago",1,"ROSAS 1665 P.2 GCIA. ADM. Y FINANZAS",327,4,120,"SA","327_SA_4",23448.70886231,24911.8909039892,25598.746664427,27154.1140492711,27575.0764957531,30268.013390164,31913.5702262285
"340","SAC  CHILE S.A.","Las Condes",3,"SAN SEBASTIAN 2839",84,1,15,"LC","84_LC_1",23470.1788802288,24927.3056785722,25673.2378679841,27157.5574400891,27826.7205209444,30367.878135986,31936.6114261064
"341","SALCOBRAND S.A.","Providencia",2,"COYANCURA  2283  OF. 1502",85,1,70,"PR","85_PR_1",23589.556368649,24951.8460564092,25749.8285079514,27245.9872972726,27855.5920216584,30427.9914484612,32210.0228454162
"342","SALVI HERMANOS LTDA.","Providencia",2,"MANUEL MONTT 844",86,1,90,"PR","86_PR_1",23602.0973731799,25115.0482243541,25862.1430673377,27276.9083604232,27920.1620317072,30586.1275181203,32404.7024169093
"343","SANHUEZA VALLADARES CARLOS","Santiago",1,"HUERFANOS 1294 OF 21",259,3,110,"SA","259_SA_3",23658.2227060121,25162.5417120343,25884.2408194283,27280.5089611472,28041.7640499476,31033.1988529253,32654.5526712219
