razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,penalty,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
LEXIS NEXIS CHILE LTDA,Santiago,1,MIRAFLORES 383 P.12,243,3,120,SA,243_SA_3,32400,33056,33852,34310,34372,35872,40546,46140,243_SA_3,3,1,33056,120
LEXIS NEXIS CHILE LTDA,Santiago,1,MIRAFLORES  383 PISO 12,318,4,240,SA,318_SA_4,32400,33056,33852,34310,34372,35872,40546,46140,318_SA_4,4,1,33056,240
LIBRERIA GONZALEZ Y ASPE LTDA,Santiago,1,LIRA 192 LOCAL G,68,1,120,SA,68_SA_1,32400,33060,33920,34382,34417,35912,40770,46874,68_SA_1,1,1,33060,120
LOPEZ MARTINEZ MARIA EUGENIA,Vitacura,4,VITACURA 8400 LOCAL   D,69,1,60,VI,69_VI_1,32400,33064,33947,34483,34420,35962,40824,47111,69_VI_1,1,4,33064,60
MANQUEHUE NET S.A.,Providencia,2,11 DE SEPTIEMBRE 2260 LOC 51,382,5,30,PR,382_PR_5,32400,33082,34006,34501,34450,36047,41121,47190,382_PR_5,5,2,33082,30
MARIANA THOMSEN Y CIA.LTDA.,Providencia,2,MANUEL MONTT 2000,319,4,90,PR,319_PR_4,32400,33108,34075,34537,34487,36054,41156,47953,319_PR_4,4,2,33108,90
MAX HUBER REPROTECNICA LTDA.,Providencia,2,GENERAL DEL CANTO 276,71,1,520,PR,71_PR_1,32400,33150,34107,34562,34506,36147,41284,48887,71_PR_1,1,2,33150,520
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MIRAFLORES 109,70,1,180,SA,70_SA_1,32400,33150,34107,34562,34506,36147,41284,48887,70_SA_1,1,1,33150,180
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MIRAFLORES 109,170,2,120,SA,170_SA_2,32400,33150,34107,34562,34506,36147,41284,48887,170_SA_2,2,1,33150,120
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MONEDA 1045,244,3,80,SA,244_SA_3,32400,33150,34107,34562,34506,36147,41284,48887,244_SA_3,3,1,33150,80
MAX HUBER REPROTECNICA LTDA.,Las Condes,3,APOQUINDO 4900-LOCAL 82,169,2,135,LC,169_LC_2,32400,33150,34107,34562,34506,36147,41284,48887,169_LC_2,2,3,33150,135
MINERA LAS CENIZAS S.A.,Providencia,2,CORONEL 2354,171,2,65,PR,171_PR_2,32400,33170,34115,34588,34654,36317,41411,48928,171_PR_2,2,2,33170,65
MINIST DE DEFENSA SUBSEC INVEST,—uÒoa,5,AV JOSE PEDRO ALESSANDRI 1800,172,2,60,NU,172_NU_2,32400,33184,34151,34593,34691,36521,41708,49411,172_NU_2,2,5,33184,60
MINISTERIO DEL INTERIOR,Santiago,1,PALACIO DE LA MONEDA OF.110,321,4,240,SA,321_SA_4,32400,33204,34176,34605,34813,36609,41752,49536,321_SA_4,4,1,33204,240
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS  1235  P. 4,383,5,240,SA,383_SA_5,32400,33204,34176,34605,34813,36609,41752,49536,383_SA_5,5,1,33204,240
MINISTERIO DEL INTERIOR,Providencia,2,TORRES BOONEN 511 PISO 1,73,1,120,PR,73_PR_1,32400,33204,34176,34605,34813,36609,41752,49536,73_PR_1,1,2,33204,120
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS 1235 P.8,72,1,195,SA,72_SA_1,32400,33204,34176,34605,34813,36609,41752,49536,72_SA_1,1,1,33204,195
MINISTERIO DEL INTERIOR,Santiago,1,PALACIO DE MONEDA GAB. SR MINISTRO,320,4,120,SA,320_SA_4,32400,33204,34176,34605,34813,36609,41752,49536,320_SA_4,4,1,33204,120
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS 1235 PISO 3 OF.DERECHOS HUMANO,322,4,90,SA,322_SA_4,32400,33204,34176,34605,34813,36609,41752,49536,322_SA_4,4,1,33204,90
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,TEATINOS 20 OF.47,245,3,160,SA,245_SA_3,32400,33214,34218,34719,35045,36823,42081,50306,245_SA_3,3,1,33214,160
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,ALAMEDA 886 PISO 2 ALA NORTE,384,5,240,SA,384_SA_5,32400,33214,34218,34719,35045,36823,42081,50306,384_SA_5,5,1,33214,240
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,PALACIO MONEDA  P 4 DUPLICACION,323,4,120,SA,323_SA_4,32400,33214,34218,34719,35045,36823,42081,50306,323_SA_4,4,1,33214,120
MITSUI TRADING AND SERVICE LTDA.,Las Condes,3,AV ANDRES BELLO 2711 P 11,246,3,100,LC,246_LC_3,32400,33225,34271,34896,35048,36874,42178,50662,246_LC_3,3,3,33225,100
MMRR.EE.DIR.RELAC.ECONOM.INTERNC,Santiago,1,TEATINOS 20 P.9 PRO CHILE OF. 91,247,3,90,SA,247_SA_3,32400,33230,34306,35028,35277,36916,42343,52111,247_SA_3,3,1,33230,90
MONTRONE PLA S.A.,Santiago,1,SANTA R0SA 2055 P 3 RRHH,74,1,60,SA,74_SA_1,32400,33252,34310,35067,35326,37099,42497,52363,74_SA_1,1,1,33252,60
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P10  DIR.ARQUITEC.OF.1015,75,1,75,SA,75_SA_1,32400,33269,34342,35097,35649,37101,42733,53479,75_SA_1,1,1,33269,75
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P 7 OF. DE PARTES,174,2,360,SA,174_SA_2,32400,33269,34342,35097,35649,37101,42733,53479,174_SA_2,2,1,33269,360
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P 10 EDIF.PUBLICA OF.1001,173,2,55,SA,173_SA_2,32400,33269,34342,35097,35649,37101,42733,53479,173_SA_2,2,1,33269,55
MOP DIRECCION GENERAL,Santiago,1,BOMBERO SALAS 1351 P 7,175,2,90,SA,175_SA_2,32400,33269,34342,35097,35649,37101,42733,53479,175_SA_2,2,1,33269,90
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59  P4  (FISCALIA),385,5,60,SA,385_SA_5,32400,33269,34342,35097,35649,37101,42733,53479,385_SA_5,5,1,33269,60
MULTINEGOCIOS S.A.,Santiago,1,AGUSTINAS 785 P.9,248,3,60,SA,248_SA_3,32400,33293,34371,35124,35684,37139,42752,54937,248_SA_3,3,1,33293,60
MUTUAL DE SEGURIDAD C CH. C,Santiago,1,ALAMEDA 4848  HOLL,176,2,90,SA,176_SA_2,32400,33315,34388,35187,35732,37289,42876,55169,176_SA_2,2,1,33315,90
MUTUALIDAD DEL EJERCITO Y AVIACION,Providencia,2,AV. 11 DE SEPTIEMBRE 2336 P.2,177,2,50,PR,177_PR_2,32400,33332,34401,35208,35939,37344,42998,55379,177_PR_2,2,2,33332,50
NCR CHILE LTDA.,Santiago,1,MIRAFLORES 383 P.17,249,3,75,SA,249_SA_3,32400,33337,34406,35245,36123,37471,43312,56536,249_SA_3,3,1,33337,75
NETCO LTDA.,Santiago,1,EJERCITO LIBERTADOR 146 SALA MULTIUSO,76,1,100,SA,76_SA_1,32400,33344,34409,35263,36186,37558,43318,56958,76_SA_1,1,1,33344,100
NOTARIA PATRICIO RABY BENAVENTE,Santiago,1,MONEDA 920 P 2 OF 205,250,3,60,SA,250_SA_3,32400,33351,34417,35357,36269,37568,43543,57723,250_SA_3,3,1,33351,60
NOTARIA PATRICIO RABY BENAVENTE,Santiago,1,MONEDA 920 P 2 OF 205,77,1,120,SA,77_SA_1,32400,33351,34417,35357,36269,37568,43543,57723,77_SA_1,1,1,33351,120
NOVARTIS CHILE S.A.,—uÒoa,5,FRANCISCO MENESES 1980,178,2,20,NU,178_NU_2,32400,33356,34430,35398,36434,37616,43576,58334,178_NU_2,2,5,33356,20
OLIMPIA  SCHNEIDER MOENNE-LOCCOZ,Santiago,1,HUERFANOS 1055 LOCAL 328,324,4,130,SA,324_SA_4,32400,33358,34472,35413,36495,37627,43612,58670,324_SA_4,4,1,33358,130
PARIS CORREDORES DE SEGUROS LTDA.,Providencia,2,RICARDO LYON 222 P9 OF 901,325,4,180,PR,325_PR_4,32400,33360,34487,35453,36518,37671,43801,59118,325_PR_4,4,2,33360,180
PATINO SABAG EDUARDO,Santiago,1,COMPA?IA 1390 OF. 909,386,5,90,SA,386_SA_5,32400,33366,34498,35467,36707,37677,43826,59637,386_SA_5,5,1,33366,90
PATRONATO NAC. DE LA INFANCIA,Providencia,2,PEDRO DE VALDIVIA 844,179,2,100,PR,179_PR_2,32400,33375,34521,35541,36738,37774,43909,60393,179_PR_2,2,2,33375,100
PCS-CORP,Providencia,2,"11 DE SEPTIEMBRE 2155 OF. 903, TORRE A",251,3,60,PR,251_PR_3,32400,33396,34530,35551,36739,37787,44181,62071,251_PR_3,3,2,33396,60
PIRELLI NEUMATICOS,Las Condes,3,AV. NVA TAJAMAR 555  OF 302,180,2,60,LC,180_LC_2,32400,33455,34530,35694,36740,37815,44684,62845,180_LC_2,2,3,33455,60
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,LIRA 41 DPTO 5    (130),326,4,1,SA,326_SA_4,32400,33480,34633,35699,36840,37902,44784,63153,326_SA_4,4,1,33480,1
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,EL COMENDADOR 1946 ADM.CAMPUS LO CONTADO,78,1,60,SA,78_SA_1,32400,33480,34633,35699,36840,37902,44784,63153,78_SA_1,1,1,33480,60
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,MARCOLETA 345 P 2 B. SANGRE (320),79,1,100,SA,79_SA_1,32400,33480,34633,35699,36840,37902,44784,63153,79_SA_1,1,1,33480,100
PONTIFICIA UNIVERSIDAD CATOLICA,Las Condes,3,MALL ALTO LAS CONDES LOCAL 1106,181,2,120,LC,181_LC_2,32400,33480,34633,35699,36840,37902,44784,63153,181_LC_2,2,3,33480,120
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,MARCOLETA 352  SALUD PUBLICA P1(670),252,3,55,SA,252_SA_3,32400,33480,34633,35699,36840,37902,44784,63153,252_SA_3,3,1,33480,55
PORTA SYSTEMS CHILE,Santiago,1,LIVINGSTONE 72,387,5,90,SA,387_SA_5,32400,33494,34637,35736,36976,37931,44938,63945,387_SA_5,5,1,33494,90
PRECISION HISPANA,Santiago,1,EJERCITO 521 PISO 2,80,1,90,SA,80_SA_1,32400,33495,34655,35757,37103,38101,44948,64218,80_SA_1,1,1,33495,90
PREFECTURA CARABINEROS SANTIAGO CENTRO,Santiago,1,STO DOMINGO 714 1 COMIS STGO,81,1,60,SA,81_SA_1,32400,33510,34669,35811,37478,38180,45144,64517,81_SA_1,1,1,33510,60
PRESIDENCIA DE LA REPUBLICA,Santiago,1,NUEVA YORK 9 PISO 17,388,5,60,SA,388_SA_5,32400,33521,34684,36222,37491,38266,45689,66280,388_SA_5,5,1,33521,60
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,389,5,90,SA,389_SA_5,32400,33526,34687,36240,37648,38375,45702,66459,389_SA_5,5,1,33526,90
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,253,3,60,SA,253_SA_3,32400,33526,34687,36240,37648,38375,45702,66459,253_SA_3,3,1,33526,60
PROSPECTA S.A.,Vitacura,4,VITACURA 2736 P-18,82,1,30,VI,82_VI_1,32400,33527,34693,36269,38072,38383,45719,66805,82_VI_1,1,4,33527,30
PUBLICITARIA SUTIL Y ASOCIADOS S.A,Las Condes,3,SAN SEBASTIAN 2909 OF 101,390,5,180,LC,390_LC_5,32400,33542,34706,36344,38117,38446,46072,67300,390_LC_5,5,3,33542,180
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,255,3,150,PR,255_PR_3,32400,33556,34746,36347,38145,38547,46083,68180,255_PR_3,3,2,33556,150
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,254,3,60,PR,254_PR_3,32400,33556,34746,36347,38145,38547,46083,68180,254_PR_3,3,2,33556,60
RENE WIEGAND KOCH Y CIA LTDA,Providencia,2,PIO NONO 1  PISO 4 FAC.DERECHO,256,3,90,PR,256_PR_3,32400,33614,34803,36436,38338,38581,46341,68235,256_PR_3,3,2,33614,90
ROENSA S.A.,Santiago,1,NATANIEL COX 1481,257,3,5,SA,257_SA_3,32400,33622,34823,36504,38504,38659,46362,68248,257_SA_3,3,1,33622,5
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,258,3,120,SA,258_SA_3,32400,33653,34938,36546,38526,38683,46574,68442,258_SA_3,3,1,33653,120
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,83,1,240,SA,83_SA_1,32400,33653,34938,36546,38526,38683,46574,68442,83_SA_1,1,1,33653,240
S.A.C.I. FALABELLA,Santiago,1,ROSAS 1665 P.2 GCIA. ADM. Y FINANZAS,327,4,120,SA,327_SA_4,32400,33671,35001,36677,38569,38697,47175,68772,327_SA_4,4,1,33671,120
SAC  CHILE S.A.,Las Condes,3,SAN SEBASTIAN 2839,84,1,15,LC,84_LC_1,32400,33677,35025,36789,38902,38832,47455,70168,84_LC_1,1,3,33677,15
SALCOBRAND S.A.,Providencia,2,COYANCURA  2283  OF. 1502,85,1,70,PR,85_PR_1,32400,33693,35055,36791,39107,38964,47634,70529,85_PR_1,1,2,33693,70
SALVI HERMANOS LTDA.,Providencia,2,MANUEL MONTT 844,86,1,90,PR,86_PR_1,32400,33701,35081,37016,39126,39110,47718,71627,86_PR_1,1,2,33701,90
SANHUEZA VALLADARES CARLOS,Santiago,1,HUERFANOS 1294 OF 21,259,3,110,SA,259_SA_3,32400,33707,35161,37025,39216,39218,47773,71842,259_SA_3,3,1,33707,110
SANTANDER GESTION DE RECAUD. Y COB. LTDA,Santiago,1,MONEDA 856 PISO 5 OF. 502,260,3,120,SA,260_SA_3,32400,33711,35287,37154,39577,39257,47779,72723,260_SA_3,3,1,33711,120
SEC.REG.M.DE BIENES NAC.P.S.TIT.,Santiago,1,JUAN ANTONIO RIOS 6 P.5 DECRET,261,3,90,SA,261_SA_3,32400,33729,35298,37191,39696,39271,47822,72976,261_SA_3,3,1,33729,90
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 9,87,1,60,SA,87_SA_1,32400,33759,35346,37211,39865,39671,48175,73130,87_SA_1,1,1,33759,60
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 2 BIBLIOTECA,262,3,120,SA,262_SA_3,32400,33759,35346,37211,39865,39671,48175,73130,262_SA_3,3,1,33759,120
SEGURIDAD Y  TELECOMUNICACIONES S.A.,Las Condes,3,LAS CONDES 7300,88,1,120,LC,88_LC_1,32400,33854,35564,37243,40143,39733,48734,73727,88_LC_1,1,3,33854,120
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 PISO 6 OF.601,328,4,120,LC,328_LC_4,32400,33890,35606,37266,40171,39835,48735,74020,328_LC_4,4,3,33890,120
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 P7,329,4,90,LC,329_LC_4,32400,33890,35606,37266,40171,39835,48735,74020,329_LC_4,4,3,33890,90
SEGUROS VIDA SECURITY PREVISION S.A.,Las Condes,3,HENDAYA 60 PISO 7 CASA MATRIZ,182,2,60,LC,182_LC_2,32400,33955,35651,37300,40200,39835,48801,74145,182_LC_2,2,3,33955,60
SEGURY CORP S.A.,—uÒoa,5,SUCRE 1828,183,2,20,NU,183_NU_2,32400,33962,35773,37316,40331,40243,48842,75014,183_NU_2,2,5,33962,20
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,263,3,60,SA,263_SA_3,32400,34008,35790,37399,40447,40615,48907,75164,263_SA_3,3,1,34008,60
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,184,2,15,SA,184_SA_2,32400,34008,35790,37399,40447,40615,48907,75164,184_SA_2,2,1,34008,15
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 PISO 6 PRESUPUESTO,185,2,35,SA,185_SA_2,32400,34011,35807,37442,40510,40784,49730,75552,185_SA_2,2,1,34011,35
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 P.4,331,4,160,SA,331_SA_4,32400,34011,35807,37442,40510,40784,49730,75552,331_SA_4,4,1,34011,160
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,HUERFANOS 1570 P3 DIR REGIONAL,330,4,120,SA,330_SA_4,32400,34011,35807,37442,40510,40784,49730,75552,330_SA_4,4,1,34011,120
SERV. INTEGRALES DE COMERCIO EXTERIOR LT,Santiago,1,MONJITAS 392 P 11 OF 1103,264,3,65,SA,264_SA_3,32400,34138,35837,37451,40681,40794,50205,76079,264_SA_3,3,1,34138,65
SERV.DE CORRESPONDENCIA ENVIA LTDA,Providencia,2,CALLE BARROS ERRAZURIZ 1954 OF.1602,186,2,120,PR,186_PR_2,32400,34182,35870,37593,40717,40919,50294,76146,186_PR_2,2,2,34182,120
SERVICIO DE IMPUESTOS INTERNOS,Santiago,1,TEATINOS 120 SUBTERRANEO,187,2,210,SA,187_SA_2,32400,34204,35925,37621,40754,40969,50435,76311,187_SA_2,2,1,34204,210
SERVICIOS DE ADMIN. PREVISIONALES S.A.,Providencia,2,MARCHANT PEREIRA 10  P.16,89,1,70,PR,89_PR_1,32400,34274,36035,37831,40792,40993,50493,76938,89_PR_1,1,2,34274,70
SERVICIOS DE CONTROL DE CREDITOS S.A.,Santiago,1,MONJITAS 550 P2 OF 7,90,1,90,SA,90_SA_1,32400,34329,36069,37850,40877,41925,50960,77758,90_SA_1,1,1,34329,90
SERVICIOS DE INGENIERIA LTDA.,Las Condes,3,AV VITACURA  2771 OF 1101 B,391,5,75,LC,391_LC_5,32400,34358,36151,37992,40946,42520,51458,77999,391_LC_5,5,3,34358,75
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRAL,393,5,150,PR,393_PR_5,32400,34389,36224,38305,40969,42689,51523,78636,393_PR_5,5,2,34389,150
SERVICIOS GENERALES LTDA.,Providencia,2,LADISLAO ERRAZURIZ 2121,91,1,120,PR,91_PR_1,32400,34389,36224,38305,40969,42689,51523,78636,91_PR_1,1,2,34389,120
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRO D.,392,5,35,PR,392_PR_5,32400,34389,36224,38305,40969,42689,51523,78636,392_PR_5,5,2,34389,35
SERVICIOS GRAFICOS JCV S.A.,Vitacura,4,VITACURA 2653 B,188,2,100,VI,188_VI_2,32400,34394,36381,38377,41250,42794,51691,79269,188_VI_2,2,4,34394,100
SHELL CHILE S.A.C.E.I.,Providencia,2,CARLOS ANTUNEZ 2490,332,4,120,PR,332_PR_4,32400,34399,36407,38391,41326,42819,52331,79687,332_PR_4,4,2,34399,120
SIEMENS S.A.,Providencia,2,AV HOLANDA 64,265,3,100,PR,265_PR_3,32400,34487,36428,38416,41339,43152,52391,80220,265_PR_3,3,2,34487,100
SOC FORESTAL LOS ESTEROS LTDA,Santiago,1,COMPANIA 1068  OF 607,92,1,60,SA,92_SA_1,32400,34548,36587,38450,41750,43568,53209,80244,92_SA_1,1,1,34548,60
SOC.AGRIC.ABOUGHAZALEH HNOS.LTDA.,Vitacura,4,AV LUIS  PASTEUR  5842  OF. 400,333,4,90,VI,333_VI_4,32400,34553,36738,38491,41780,43829,53584,80334,333_VI_4,4,4,34553,90
SOC.INMOBILIARIA SAN CRISTOBAL,Providencia,2,AV.STA. MARIA 1742 INGENIERIA,394,5,75,PR,394_PR_5,32400,34624,36741,38570,41786,43854,53622,80670,394_PR_5,5,2,34624,75
SOCIEDAD CONSTRUCTORA ELECTRICA LTDA.,Santiago,1,HUERFANOS  1178 OF 509,93,1,90,SA,93_SA_1,32400,34626,36826,38575,41985,43868,53960,80727,93_SA_1,1,1,34626,90
SODEXHO CHILE S.A.,—uÒoa,5,WILLIAMS REBOLLEDO 1799  P.2.EDIF NUEVO,94,1,160,NU,94_NU_1,32400,34644,36881,38890,42113,43903,54475,81688,94_NU_1,1,5,34644,160
SONDA S.A.,Santiago,1,TEATINOS 500 P.8,95,1,140,SA,95_SA_1,32400,34659,36944,38937,42116,43942,54556,81861,95_SA_1,1,1,34659,140
SOUTH EXPRESS CARGO S.A.,Santiago,1,SOTERO DEL RIO 508 OF 1027,334,4,30,SA,334_SA_4,32400,34659,37083,39259,42202,44182,54836,82068,334_SA_4,4,1,34659,30
STECK Y CIA. LTDA.,Vitacura,4,BUENAVENTURA 1770 L.6,96,1,50,VI,96_VI_1,32400,34686,37175,39274,42221,44187,55719,84075,96_VI_1,1,4,34686,50
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIO PRINT,98,1,10,PR,98_PR_1,32400,34800,37375,39360,42429,44192,55735,85438,98_PR_1,1,2,34800,10
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIOPRINT,97,1,20,PR,97_PR_1,32400,34800,37375,39360,42429,44192,55735,85438,97_PR_1,1,2,34800,20
SUP.DE ADMNST.FDOS.DE PENSIONES,Santiago,1,HUERFANOS 1273 P.14,335,4,30,SA,335_SA_4,32400,34844,37430,39489,42519,44244,56194,86123,335_SA_4,4,1,34844,30
SUPERINT DE INSTIT DE SALUD PREVISIONAL,Santiago,1,MAC IVER 225 P 3,266,3,80,SA,266_SA_3,32400,34845,37861,39611,42704,44407,57293,86950,266_SA_3,3,1,34845,80
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBU,Santiago,1,AMUNATEGUI 58 P.5,99,1,75,SA,99_SA_1,32400,34935,37965,39947,42737,45148,58085,87793,99_SA_1,1,1,34935,75
SUPERMERCADO VESPUCIO SUR LTDA.,—uÒoa,5,A.VESPUCIO SUR 881 OF. DE COMPRAS,267,3,50,NU,267_NU_3,32400,34959,38272,40078,42791,45436,58878,89449,267_NU_3,3,5,34959,50
SUPERMERCADOS UNIMARC S.A.,Vitacura,4,AV SANTA MARIA 6940 LIBRERIA,336,4,240,VI,336_VI_4,32400,35146,38589,40081,42903,45505,59155,90457,336_VI_4,4,4,35146,240
TECNA-VAL,Providencia,2,BARROS BORGONO 255,337,4,1,PR,337_PR_4,32400,35219,38626,40550,43113,45516,63975,90754,337_PR_4,4,2,35219,1
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P8,395,5,90,SA,395_SA_5,32400,35431,39017,40558,43142,45744,64210,92205,395_SA_5,5,1,35431,90
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P 11 GCIA.GRAL.,338,4,60,SA,338_SA_4,32400,35431,39017,40558,43142,45744,64210,92205,338_SA_4,4,1,35431,60
TUR BUS LTDA.,Santiago,1,RUIZ TAGLE 220 P.1 AT CLIENTES,396,5,60,SA,396_SA_5,32400,35479,39145,40736,43601,45922,64600,95753,396_SA_5,5,1,35479,60
TUR BUS LTDA.,Santiago,1,DOLORES 800  OPERACIONES P.2,397,5,10,SA,397_SA_5,32400,35479,39145,40736,43601,45922,64600,95753,397_SA_5,5,1,35479,10
UNIVERSIDAD CENTRAL,Santiago,1,TOESCA 1783 METRO TOESCA P 1,268,3,90,SA,268_SA_3,32400,35516,39268,41315,43735,45950,67479,96478,268_SA_3,3,1,35516,90
UNIVERSIDAD DE CHILE,—uÒoa,5,IGNACIO CARRERA PINTO 1045 CENTRAL APUNT,398,5,150,NU,398_NU_5,32400,35960,39278,41385,44350,48037,67902,98507,398_NU_5,5,5,35960,150
UNIVERSIDAD DE CHILE,Santiago,1,PLAZA ERCILLA 883 OF.PARTES,340,4,60,SA,340_SA_4,32400,35960,39278,41385,44350,48037,67902,98507,340_SA_4,4,1,35960,60
UNIVERSIDAD DE CHILE,Santiago,1,DIAGONAL PARAGUAY 257-PISO 1,339,4,140,SA,339_SA_4,32400,35960,39278,41385,44350,48037,67902,98507,339_SA_4,4,1,35960,140
UNIVERSIDAD DE CHILE,Providencia,2,PIO NONO NRO.1,189,2,80,PR,189_PR_2,32400,35960,39278,41385,44350,48037,67902,98507,189_PR_2,2,2,35960,80
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831 -CENTRAL DE APUNTES,399,5,60,SA,399_SA_5,32400,36055,39301,41428,46897,48891,68761,100367,399_SA_5,5,1,36055,60
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831,190,2,30,SA,190_SA_2,32400,36055,39301,41428,46897,48891,68761,100367,190_SA_2,2,1,36055,30
UNIVERSIDAD FINIS TERRAE,Providencia,2,AV. PEDRO DE VALDIVIA 1543,100,1,60,PR,100_PR_1,32400,36234,39481,42584,47503,49516,69435,105411,100_PR_1,1,2,36234,60
UNIVERSIDAD TECNICA METROPOLITANA,Santiago,1,VIDAURRE 1550 P/4 COMPUTACION,269,3,40,SA,269_SA_3,32400,36385,39547,43196,49592,49669,71243,107897,269_SA_3,3,1,36385,40
VM.ICA SISTEMAS Y TECNOLOGIA LTDA.,Providencia,2,FIDEL OTEIZA 1916 OF.1001,400,5,45,PR,400_PR_5,32400,36791,39735,44539,50233,50481,79392,109858,400_PR_5,5,2,36791,45
WARNER MUSIC CHILE S.A.,Providencia,2,AV. POCURO 2262,270,3,75,PR,270_PR_3,32400,37325,40631,45312,54258,50624,80991,125000,270_PR_3,3,2,37325,75
