razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime.x,COD,Name,serviceTime.y,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
LIBRERIA GONZALEZ Y ASPE LTDA,Santiago,1,LIRA 192 LOCAL G,68,1,120,SA,68_SA_1,90,22016,22512,23033,23562,24151,26333,31333,68_SA_1,1,1,22016,90
LOPEZ MARTINEZ MARIA EUGENIA,Vitacura,4,VITACURA 8400 LOCAL   D,69,1,60,VI,69_VI_1,90,22019,22597,23064,23581,24212,26375,31435,69_VI_1,1,4,22019,90
MANQUEHUE NET S.A.,Providencia,2,11 DE SEPTIEMBRE 2260 LOC 51,382,5,30,PR,382_PR_5,93,22022,22597,23115,23591,24231,26422,31683,382_PR_5,5,2,22022,93
MARIANA THOMSEN Y CIA.LTDA.,Providencia,2,MANUEL MONTT 2000,319,4,90,PR,319_PR_4,98,22035,22608,23152,23620,24308,26471,31924,319_PR_4,4,2,22035,98
MAX HUBER REPROTECNICA LTDA.,Providencia,2,GENERAL DEL CANTO 276,71,1,520,PR,71_PR_1,100,22050,22617,23267,23639,24416,26476,32037,71_PR_1,1,2,22050,100
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MIRAFLORES 109,70,1,180,SA,70_SA_1,100,22050,22617,23267,23639,24416,26476,32037,70_SA_1,1,1,22050,100
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MIRAFLORES 109,170,2,120,SA,170_SA_2,100,22050,22617,23267,23639,24416,26476,32037,170_SA_2,2,1,22050,100
MAX HUBER REPROTECNICA LTDA.,Santiago,1,MONEDA 1045,244,3,80,SA,244_SA_3,100,22050,22617,23267,23639,24416,26476,32037,244_SA_3,3,1,22050,100
MAX HUBER REPROTECNICA LTDA.,Las Condes,3,APOQUINDO 4900-LOCAL 82,169,2,135,LC,169_LC_2,100,22050,22617,23267,23639,24416,26476,32037,169_LC_2,2,3,22050,100
MINERA LAS CENIZAS S.A.,Providencia,2,CORONEL 2354,171,2,65,PR,171_PR_2,100,22054,22645,23337,23644,24563,26515,32144,171_PR_2,2,2,22054,100
MINIST DE DEFENSA SUBSEC INVEST,—uÒoa,5,AV JOSE PEDRO ALESSANDRI 1800,172,2,60,NU,172_NU_2,100,22063,22669,23394,23676,24570,26758,32195,172_NU_2,2,5,22063,100
MINISTERIO DEL INTERIOR,Santiago,1,PALACIO DE LA MONEDA OF.110,321,4,240,SA,321_SA_4,100,22084,22700,23410,23755,24714,26790,32250,321_SA_4,4,1,22084,100
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS  1235  P. 4,383,5,240,SA,383_SA_5,100,22084,22700,23410,23755,24714,26790,32250,383_SA_5,5,1,22084,100
MINISTERIO DEL INTERIOR,Providencia,2,TORRES BOONEN 511 PISO 1,73,1,120,PR,73_PR_1,100,22084,22700,23410,23755,24714,26790,32250,73_PR_1,1,2,22084,100
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS 1235 P.8,72,1,195,SA,72_SA_1,100,22084,22700,23410,23755,24714,26790,32250,72_SA_1,1,1,22084,100
MINISTERIO DEL INTERIOR,Santiago,1,PALACIO DE MONEDA GAB. SR MINISTRO,320,4,120,SA,320_SA_4,100,22084,22700,23410,23755,24714,26790,32250,320_SA_4,4,1,22084,100
MINISTERIO DEL INTERIOR,Santiago,1,AGUSTINAS 1235 PISO 3 OF.DERECHOS HUMANO,322,4,90,SA,322_SA_4,100,22084,22700,23410,23755,24714,26790,32250,322_SA_4,4,1,22084,100
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,TEATINOS 20 OF.47,245,3,160,SA,245_SA_3,100,22085,22702,23520,23766,24844,26839,32636,245_SA_3,3,1,22085,100
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,ALAMEDA 886 PISO 2 ALA NORTE,384,5,240,SA,384_SA_5,100,22085,22702,23520,23766,24844,26839,32636,384_SA_5,5,1,22085,100
MINISTERIO SECRETARIA GRAL. DE GOBIERNO,Santiago,1,PALACIO MONEDA  P 4 DUPLICACION,323,4,120,SA,323_SA_4,100,22085,22702,23520,23766,24844,26839,32636,323_SA_4,4,1,22085,100
MITSUI TRADING AND SERVICE LTDA.,Las Condes,3,AV ANDRES BELLO 2711 P 11,246,3,100,LC,246_LC_3,100,22086,22709,23570,23786,24958,26985,32934,246_LC_3,3,3,22086,100
MMRR.EE.DIR.RELAC.ECONOM.INTERNC,Santiago,1,TEATINOS 20 P.9 PRO CHILE OF. 91,247,3,90,SA,247_SA_3,100,22133,22720,23590,23822,25240,27176,33384,247_SA_3,3,1,22133,100
MONTRONE PLA S.A.,Santiago,1,SANTA R0SA 2055 P 3 RRHH,74,1,60,SA,74_SA_1,100,22148,22751,23639,23857,25333,27357,34115,74_SA_1,1,1,22148,100
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P10  DIR.ARQUITEC.OF.1015,75,1,75,SA,75_SA_1,100,22149,22766,23698,23949,25361,27428,34262,75_SA_1,1,1,22149,100
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P 7 OF. DE PARTES,174,2,360,SA,174_SA_2,100,22149,22766,23698,23949,25361,27428,34262,174_SA_2,2,1,22149,100
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59 P 10 EDIF.PUBLICA OF.1001,173,2,55,SA,173_SA_2,100,22149,22766,23698,23949,25361,27428,34262,173_SA_2,2,1,22149,100
MOP DIRECCION GENERAL,Santiago,1,BOMBERO SALAS 1351 P 7,175,2,90,SA,175_SA_2,100,22149,22766,23698,23949,25361,27428,34262,175_SA_2,2,1,22149,100
MOP DIRECCION GENERAL,Santiago,1,MORANDE 59  P4  (FISCALIA),385,5,60,SA,385_SA_5,100,22149,22766,23698,23949,25361,27428,34262,385_SA_5,5,1,22149,100
MULTINEGOCIOS S.A.,Santiago,1,AGUSTINAS 785 P.9,248,3,60,SA,248_SA_3,102,22156,22829,23701,24049,25507,27557,34743,248_SA_3,3,1,22156,102
MUTUAL DE SEGURIDAD C CH. C,Santiago,1,ALAMEDA 4848  HOLL,176,2,90,SA,176_SA_2,102,22172,22876,23810,24108,25535,27771,34933,176_SA_2,2,1,22172,102
MUTUALIDAD DEL EJERCITO Y AVIACION,Providencia,2,AV. 11 DE SEPTIEMBRE 2336 P.2,177,2,50,PR,177_PR_2,105,22199,22900,23820,24126,25561,27771,35095,177_PR_2,2,2,22199,105
NCR CHILE LTDA.,Santiago,1,MIRAFLORES 383 P.17,249,3,75,SA,249_SA_3,105,22205,22942,23837,24391,25580,27903,35232,249_SA_3,3,1,22205,105
NETCO LTDA.,Santiago,1,EJERCITO LIBERTADOR 146 SALA MULTIUSO,76,1,100,SA,76_SA_1,105,22212,22953,23841,24433,25603,27963,35640,76_SA_1,1,1,22212,105
NOTARIA PATRICIO RABY BENAVENTE,Santiago,1,MONEDA 920 P 2 OF 205,250,3,60,SA,250_SA_3,105,22227,22998,23962,24439,25694,28091,35836,250_SA_3,3,1,22227,105
NOTARIA PATRICIO RABY BENAVENTE,Santiago,1,MONEDA 920 P 2 OF 205,77,1,120,SA,77_SA_1,105,22227,22998,23962,24439,25694,28091,35836,77_SA_1,1,1,22227,105
NOVARTIS CHILE S.A.,—uÒoa,5,FRANCISCO MENESES 1980,178,2,20,NU,178_NU_2,108,22234,23003,24007,24493,25696,28224,36016,178_NU_2,2,5,22234,108
OLIMPIA  SCHNEIDER MOENNE-LOCCOZ,Santiago,1,HUERFANOS 1055 LOCAL 328,324,4,130,SA,324_SA_4,108,22237,23017,24086,24579,26000,28388,36199,324_SA_4,4,1,22237,108
PARIS CORREDORES DE SEGUROS LTDA.,Providencia,2,RICARDO LYON 222 P9 OF 901,325,4,180,PR,325_PR_4,110,22245,23020,24088,24610,26191,28646,36214,325_PR_4,4,2,22245,110
PATINO SABAG EDUARDO,Santiago,1,COMPA?IA 1390 OF. 909,386,5,90,SA,386_SA_5,110,22247,23023,24127,24658,26197,28650,36385,386_SA_5,5,1,22247,110
PATRONATO NAC. DE LA INFANCIA,Providencia,2,PEDRO DE VALDIVIA 844,179,2,100,PR,179_PR_2,110,22250,23036,24139,24676,26236,28688,36458,179_PR_2,2,2,22250,110
PCS-CORP,Providencia,2,"11 DE SEPTIEMBRE 2155 OF. 903, TORRE A",251,3,60,PR,251_PR_3,111,22263,23049,24157,24805,26237,28697,36558,251_PR_3,3,2,22263,111
PIRELLI NEUMATICOS,Las Condes,3,AV. NVA TAJAMAR 555  OF 302,180,2,60,LC,180_LC_2,120,22277,23074,24161,24809,26246,28833,36662,180_LC_2,2,3,22277,120
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,LIRA 41 DPTO 5    (130),326,4,1,SA,326_SA_4,120,22296,23074,24167,24858,26291,29063,37101,326_SA_4,4,1,22296,120
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,EL COMENDADOR 1946 ADM.CAMPUS LO CONTADO,78,1,60,SA,78_SA_1,120,22296,23074,24167,24858,26291,29063,37101,78_SA_1,1,1,22296,120
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,MARCOLETA 345 P 2 B. SANGRE (320),79,1,100,SA,79_SA_1,120,22296,23074,24167,24858,26291,29063,37101,79_SA_1,1,1,22296,120
PONTIFICIA UNIVERSIDAD CATOLICA,Las Condes,3,MALL ALTO LAS CONDES LOCAL 1106,181,2,120,LC,181_LC_2,120,22296,23074,24167,24858,26291,29063,37101,181_LC_2,2,3,22296,120
PONTIFICIA UNIVERSIDAD CATOLICA,Santiago,1,MARCOLETA 352  SALUD PUBLICA P1(670),252,3,55,SA,252_SA_3,120,22296,23074,24167,24858,26291,29063,37101,252_SA_3,3,1,22296,120
PORTA SYSTEMS CHILE,Santiago,1,LIVINGSTONE 72,387,5,90,SA,387_SA_5,120,22326,23105,24256,24898,26422,29066,37195,387_SA_5,5,1,22326,120
PRECISION HISPANA,Santiago,1,EJERCITO 521 PISO 2,80,1,90,SA,80_SA_1,120,22337,23108,24296,24965,26449,29112,37583,80_SA_1,1,1,22337,120
PREFECTURA CARABINEROS SANTIAGO CENTRO,Santiago,1,STO DOMINGO 714 1 COMIS STGO,81,1,60,SA,81_SA_1,120,22344,23140,24362,24981,26477,29135,37596,81_SA_1,1,1,22344,120
PRESIDENCIA DE LA REPUBLICA,Santiago,1,NUEVA YORK 9 PISO 17,388,5,60,SA,388_SA_5,120,22344,23143,24403,25389,26523,29139,37861,388_SA_5,5,1,22344,120
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,389,5,90,SA,389_SA_5,120,22346,23202,24419,25392,26647,29196,38067,389_SA_5,5,1,22346,120
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,253,3,60,SA,253_SA_3,120,22346,23202,24419,25392,26647,29196,38067,253_SA_3,3,1,22346,120
PROSPECTA S.A.,Vitacura,4,VITACURA 2736 P-18,82,1,30,VI,82_VI_1,120,22374,23241,24468,25540,26669,29348,38494,82_VI_1,1,4,22374,120
PUBLICITARIA SUTIL Y ASOCIADOS S.A,Las Condes,3,SAN SEBASTIAN 2909 OF 101,390,5,180,LC,390_LC_5,120,22384,23246,24476,25544,26740,29380,38671,390_LC_5,5,3,22384,120
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,255,3,150,PR,255_PR_3,120,22419,23275,24546,25549,26741,29444,39143,255_PR_3,3,2,22419,120
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,254,3,60,PR,254_PR_3,120,22419,23275,24546,25549,26741,29444,39143,254_PR_3,3,2,22419,120
RENE WIEGAND KOCH Y CIA LTDA,Providencia,2,PIO NONO 1  PISO 4 FAC.DERECHO,256,3,90,PR,256_PR_3,120,22465,23279,24556,25663,26835,29528,39255,256_PR_3,3,2,22465,120
ROENSA S.A.,Santiago,1,NATANIEL COX 1481,257,3,5,SA,257_SA_3,120,22477,23287,24578,25701,26877,29629,39295,257_SA_3,3,1,22477,120
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,258,3,120,SA,258_SA_3,120,22500,23326,24602,25740,27087,29716,40389,258_SA_3,3,1,22500,120
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,83,1,240,SA,83_SA_1,120,22500,23326,24602,25740,27087,29716,40389,83_SA_1,1,1,22500,120
S.A.C.I. FALABELLA,Santiago,1,ROSAS 1665 P.2 GCIA. ADM. Y FINANZAS,327,4,120,SA,327_SA_4,120,22544,23356,24651,25784,27185,29733,40397,327_SA_4,4,1,22544,120
SAC  CHILE S.A.,Las Condes,3,SAN SEBASTIAN 2839,84,1,15,LC,84_LC_1,120,22546,23391,24662,25795,27315,29835,40403,84_LC_1,1,3,22546,120
SALCOBRAND S.A.,Providencia,2,COYANCURA  2283  OF. 1502,85,1,70,PR,85_PR_1,120,22559,23416,24674,25842,27354,29844,40799,85_PR_1,1,2,22559,120
SALVI HERMANOS LTDA.,Providencia,2,MANUEL MONTT 844,86,1,90,PR,86_PR_1,120,22587,23450,24679,25875,27495,29878,40958,86_PR_1,1,2,22587,120
SANHUEZA VALLADARES CARLOS,Santiago,1,HUERFANOS 1294 OF 21,259,3,110,SA,259_SA_3,120,22592,23462,24772,25885,27703,30121,40962,259_SA_3,3,1,22592,120
SANTANDER GESTION DE RECAUD. Y COB. LTDA,Santiago,1,MONEDA 856 PISO 5 OF. 502,260,3,120,SA,260_SA_3,120,22592,23527,24790,25992,27846,30201,42602,260_SA_3,3,1,22592,120
SEC.REG.M.DE BIENES NAC.P.S.TIT.,Santiago,1,JUAN ANTONIO RIOS 6 P.5 DECRET,261,3,90,SA,261_SA_3,128,22601,23573,24861,26074,27846,30406,42673,261_SA_3,3,1,22601,128
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 9,87,1,60,SA,87_SA_1,130,22661,23624,24916,26085,27858,30640,42890,87_SA_1,1,1,22661,130
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 2 BIBLIOTECA,262,3,120,SA,262_SA_3,130,22661,23624,24916,26085,27858,30640,42890,262_SA_3,3,1,22661,130
SEGURIDAD Y  TELECOMUNICACIONES S.A.,Las Condes,3,LAS CONDES 7300,88,1,120,LC,88_LC_1,130,22672,23671,24921,26091,27950,30850,43645,88_LC_1,1,3,22672,130
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 PISO 6 OF.601,328,4,120,LC,328_LC_4,130,22689,23687,24982,26136,28054,30937,43998,328_LC_4,4,3,22689,130
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 P7,329,4,90,LC,329_LC_4,130,22689,23687,24982,26136,28054,30937,43998,329_LC_4,4,3,22689,130
SEGUROS VIDA SECURITY PREVISION S.A.,Las Condes,3,HENDAYA 60 PISO 7 CASA MATRIZ,182,2,60,LC,182_LC_2,130,22691,23767,25026,26216,28151,31032,44194,182_LC_2,2,3,22691,130
SEGURY CORP S.A.,—uÒoa,5,SUCRE 1828,183,2,20,NU,183_NU_2,130,22699,23775,25062,26435,28171,31033,44261,183_NU_2,2,5,22699,130
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,263,3,60,SA,263_SA_3,138,22709,23807,25093,26488,28175,31253,44298,263_SA_3,3,1,22709,138
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,184,2,15,SA,184_SA_2,138,22709,23807,25093,26488,28175,31253,44298,184_SA_2,2,1,22709,138
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 PISO 6 PRESUPUESTO,185,2,35,SA,185_SA_2,140,22712,23841,25130,26587,28227,31525,44360,185_SA_2,2,1,22712,140
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 P.4,331,4,160,SA,331_SA_4,140,22712,23841,25130,26587,28227,31525,44360,331_SA_4,4,1,22712,140
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,HUERFANOS 1570 P3 DIR REGIONAL,330,4,120,SA,330_SA_4,140,22712,23841,25130,26587,28227,31525,44360,330_SA_4,4,1,22712,140
SERV. INTEGRALES DE COMERCIO EXTERIOR LT,Santiago,1,MONJITAS 392 P 11 OF 1103,264,3,65,SA,264_SA_3,150,22720,23882,25191,26640,28295,31560,46333,264_SA_3,3,1,22720,150
SERV.DE CORRESPONDENCIA ENVIA LTDA,Providencia,2,CALLE BARROS ERRAZURIZ 1954 OF.1602,186,2,120,PR,186_PR_2,150,22724,23956,25253,26814,28323,31680,46791,186_PR_2,2,2,22724,150
SERVICIO DE IMPUESTOS INTERNOS,Santiago,1,TEATINOS 120 SUBTERRANEO,187,2,210,SA,187_SA_2,150,22745,24072,25272,26942,28339,31701,47620,187_SA_2,2,1,22745,150
SERVICIOS DE ADMIN. PREVISIONALES S.A.,Providencia,2,MARCHANT PEREIRA 10  P.16,89,1,70,PR,89_PR_1,150,22750,24087,25351,27011,28389,31937,48551,89_PR_1,1,2,22750,150
SERVICIOS DE CONTROL DE CREDITOS S.A.,Santiago,1,MONJITAS 550 P2 OF 7,90,1,90,SA,90_SA_1,150,22756,24130,25402,27024,28438,31957,49037,90_SA_1,1,1,22756,150
SERVICIOS DE INGENIERIA LTDA.,Las Condes,3,AV VITACURA  2771 OF 1101 B,391,5,75,LC,391_LC_5,150,22759,24329,25411,27217,28698,32034,49627,391_LC_5,5,3,22759,150
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRAL,393,5,150,PR,393_PR_5,150,22773,24345,25419,27480,28797,32245,50023,393_PR_5,5,2,22773,150
SERVICIOS GENERALES LTDA.,Providencia,2,LADISLAO ERRAZURIZ 2121,91,1,120,PR,91_PR_1,150,22773,24345,25419,27480,28797,32245,50023,91_PR_1,1,2,22773,150
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRO D.,392,5,35,PR,392_PR_5,150,22773,24345,25419,27480,28797,32245,50023,392_PR_5,5,2,22773,150
SERVICIOS GRAFICOS JCV S.A.,Vitacura,4,VITACURA 2653 B,188,2,100,VI,188_VI_2,160,22805,24361,25421,27557,28812,32256,50953,188_VI_2,2,4,22805,160
SHELL CHILE S.A.C.E.I.,Providencia,2,CARLOS ANTUNEZ 2490,332,4,120,PR,332_PR_4,168,22811,24386,25426,27819,28964,32416,51967,332_PR_4,4,2,22811,168
SIEMENS S.A.,Providencia,2,AV HOLANDA 64,265,3,100,PR,265_PR_3,170,22813,24407,25477,27966,29032,32685,53529,265_PR_3,3,2,22813,170
SOC FORESTAL LOS ESTEROS LTDA,Santiago,1,COMPANIA 1068  OF 607,92,1,60,SA,92_SA_1,173,22881,24613,25506,27999,29426,32887,54353,92_SA_1,1,1,22881,173
SOC.AGRIC.ABOUGHAZALEH HNOS.LTDA.,Vitacura,4,AV LUIS  PASTEUR  5842  OF. 400,333,4,90,VI,333_VI_4,178,22898,24635,25580,28155,29514,33683,55848,333_VI_4,4,4,22898,178
SOC.INMOBILIARIA SAN CRISTOBAL,Providencia,2,AV.STA. MARIA 1742 INGENIERIA,394,5,75,PR,394_PR_5,180,22911,24789,25717,28225,29545,33839,56311,394_PR_5,5,2,22911,180
SOCIEDAD CONSTRUCTORA ELECTRICA LTDA.,Santiago,1,HUERFANOS  1178 OF 509,93,1,90,SA,93_SA_1,180,22969,24873,25822,28255,29593,34805,56668,93_SA_1,1,1,22969,180
SODEXHO CHILE S.A.,—uÒoa,5,WILLIAMS REBOLLEDO 1799  P.2.EDIF NUEVO,94,1,160,NU,94_NU_1,180,23050,24931,25830,28273,29730,35005,57883,94_NU_1,1,5,23050,180
SONDA S.A.,Santiago,1,TEATINOS 500 P.8,95,1,140,SA,95_SA_1,180,23146,25024,25958,28314,29820,35284,58257,95_SA_1,1,1,23146,180
SOUTH EXPRESS CARGO S.A.,Santiago,1,SOTERO DEL RIO 508 OF 1027,334,4,30,SA,334_SA_4,180,23151,25056,26265,28418,29840,35438,58759,334_SA_4,4,1,23151,180
STECK Y CIA. LTDA.,Vitacura,4,BUENAVENTURA 1770 L.6,96,1,50,VI,96_VI_1,180,23186,25123,26372,28464,30176,35652,59266,96_VI_1,1,4,23186,180
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIO PRINT,98,1,10,PR,98_PR_1,180,23209,25149,26429,28548,30233,35879,60988,98_PR_1,1,2,23209,180
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIOPRINT,97,1,20,PR,97_PR_1,180,23209,25149,26429,28548,30233,35879,60988,97_PR_1,1,2,23209,180
SUP.DE ADMNST.FDOS.DE PENSIONES,Santiago,1,HUERFANOS 1273 P.14,335,4,30,SA,335_SA_4,180,23274,25152,26468,28598,30435,35983,61028,335_SA_4,4,1,23274,180
SUPERINT DE INSTIT DE SALUD PREVISIONAL,Santiago,1,MAC IVER 225 P 3,266,3,80,SA,266_SA_3,180,23319,25285,26502,28655,30545,36712,61484,266_SA_3,3,1,23319,180
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBU,Santiago,1,AMUNATEGUI 58 P.5,99,1,75,SA,99_SA_1,200,23389,25291,26538,28677,30547,37192,61630,99_SA_1,1,1,23389,200
SUPERMERCADO VESPUCIO SUR LTDA.,—uÒoa,5,A.VESPUCIO SUR 881 OF. DE COMPRAS,267,3,50,NU,267_NU_3,200,23390,25316,26632,28961,31181,37365,61943,267_NU_3,3,5,23390,200
SUPERMERCADOS UNIMARC S.A.,Vitacura,4,AV SANTA MARIA 6940 LIBRERIA,336,4,240,VI,336_VI_4,207,23437,25364,26687,28974,31530,37594,62404,336_VI_4,4,4,23437,207
TECNA-VAL,Providencia,2,BARROS BORGONO 255,337,4,1,PR,337_PR_4,207,23451,25449,27008,29015,31702,37888,62485,337_PR_4,4,2,23451,207
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P8,395,5,90,SA,395_SA_5,210,23573,25702,27193,29227,31713,37957,63539,395_SA_5,5,1,23573,210
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P 11 GCIA.GRAL.,338,4,60,SA,338_SA_4,210,23573,25702,27193,29227,31713,37957,63539,338_SA_4,4,1,23573,210
TUR BUS LTDA.,Santiago,1,RUIZ TAGLE 220 P.1 AT CLIENTES,396,5,60,SA,396_SA_5,215,23684,25848,27211,29587,32032,39017,63917,396_SA_5,5,1,23684,215
TUR BUS LTDA.,Santiago,1,DOLORES 800  OPERACIONES P.2,397,5,10,SA,397_SA_5,215,23684,25848,27211,29587,32032,39017,63917,397_SA_5,5,1,23684,215
UNIVERSIDAD CENTRAL,Santiago,1,TOESCA 1783 METRO TOESCA P 1,268,3,90,SA,268_SA_3,230,23686,26027,27277,29831,32774,40173,65018,268_SA_3,3,1,23686,230
UNIVERSIDAD DE CHILE,—uÒoa,5,IGNACIO CARRERA PINTO 1045 CENTRAL APUNT,398,5,150,NU,398_NU_5,234,23745,26424,27688,29910,33061,40421,65508,398_NU_5,5,5,23745,234
UNIVERSIDAD DE CHILE,Santiago,1,PLAZA ERCILLA 883 OF.PARTES,340,4,60,SA,340_SA_4,234,23745,26424,27688,29910,33061,40421,65508,340_SA_4,4,1,23745,234
UNIVERSIDAD DE CHILE,Santiago,1,DIAGONAL PARAGUAY 257-PISO 1,339,4,140,SA,339_SA_4,234,23745,26424,27688,29910,33061,40421,65508,339_SA_4,4,1,23745,234
UNIVERSIDAD DE CHILE,Providencia,2,PIO NONO NRO.1,189,2,80,PR,189_PR_2,234,23745,26424,27688,29910,33061,40421,65508,189_PR_2,2,2,23745,234
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831 -CENTRAL DE APUNTES,399,5,60,SA,399_SA_5,240,23839,26478,27801,30285,34063,41395,65649,399_SA_5,5,1,23839,240
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831,190,2,30,SA,190_SA_2,240,23839,26478,27801,30285,34063,41395,65649,190_SA_2,2,1,23839,240
UNIVERSIDAD FINIS TERRAE,Providencia,2,AV. PEDRO DE VALDIVIA 1543,100,1,60,PR,100_PR_1,240,23990,26808,27963,30617,34092,41668,67158,100_PR_1,1,2,23990,240
UNIVERSIDAD TECNICA METROPOLITANA,Santiago,1,VIDAURRE 1550 P/4 COMPUTACION,269,3,40,SA,269_SA_3,240,24074,27067,28030,30747,34093,43607,70618,269_SA_3,3,1,24074,240
VM.ICA SISTEMAS Y TECNOLOGIA LTDA.,Providencia,2,FIDEL OTEIZA 1916 OF.1001,400,5,45,PR,400_PR_5,240,24125,27402,28277,32064,35434,44744,71528,400_PR_5,5,2,24125,240
WARNER MUSIC CHILE S.A.,Providencia,2,AV. POCURO 2262,270,3,75,PR,270_PR_3,285,24152,27405,28710,36518,35566,45078,78127,270_PR_3,3,2,24152,285
