razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,c,p,damage,pages,wasteTime(min),penalty
PORTA SYSTEMS CHILE,Santiago,1,LIVINGSTONE 72,387,5,90,SA,387_SA_5,14,0.731613738,0.012519124,19665.77726,246,11079
PRECISION HISPANA,Santiago,1,EJERCITO 521 PISO 2,80,1,90,SA,80_SA_1,18,0.340767319,1.76E-06,11776.91856,0,1
PREFECTURA CARABINEROS SANTIAGO CENTRO,Santiago,1,STO DOMINGO 714 1 COMIS STGO,81,1,60,SA,81_SA_1,19,0.339617544,1.01E-06,12389.24802,0,1
PRESIDENCIA DE LA REPUBLICA,Santiago,1,NUEVA YORK 9 PISO 17,388,5,60,SA,388_SA_5,18,0.512084847,0.000176644,17697.6523,3,141
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,389,5,90,SA,389_SA_5,17,0.276130341,2.25E-07,9012.89433,0,0
PROCESOS INTEGRALES VIVACOOP S.A.,Santiago,1,AHUMADA 341 PISO 6,253,3,60,SA,253_SA_3,17,0.276130341,2.25E-07,9012.89433,0,0
PROSPECTA S.A.,Vitacura,4,VITACURA 2736 P-18,82,1,30,VI,82_VI_1,13,0.618473045,0.00359104,15437.0872,55,2495
PUBLICITARIA SUTIL Y ASOCIADOS S.A,Las Condes,3,SAN SEBASTIAN 2909 OF 101,390,5,180,LC,390_LC_5,18,0.938257465,1.889754015,32426.17798,61278,2757488
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,255,3,150,PR,255_PR_3,18,0.442593545,3.75E-05,15296.03292,1,26
RED DE TELEVISION CHILEVISION S. A.,Providencia,2,INES MATTE URREJOLA 0825,254,3,60,PR,254_PR_3,18,0.442593545,3.75E-05,15296.03292,1,26
RENE WIEGAND KOCH Y CIA LTDA,Providencia,2,PIO NONO 1  PISO 4 FAC.DERECHO,256,3,90,PR,256_PR_3,20,0.117358228,2.44E-14,4506.555945,0,0
ROENSA S.A.,Santiago,1,NATANIEL COX 1481,257,3,5,SA,257_SA_3,19,0.661035858,0.001819378,24114.58809,44,1974
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,258,3,120,SA,258_SA_3,19,0.220920216,2.36E-09,8059.169465,0,0
RUIZ RUIZ ANGEL GASPAR,Santiago,1,MIRAFLORES 211,83,1,240,SA,83_SA_1,19,0.220920216,2.36E-09,8059.169465,0,0
S.A.C.I. FALABELLA,Santiago,1,ROSAS 1665 P.2 GCIA. ADM. Y FINANZAS,327,4,120,SA,327_SA_4,21,0.777132733,0.007696036,31333.99179,241,10852
SAC  CHILE S.A.,Las Condes,3,SAN SEBASTIAN 2839,84,1,15,LC,84_LC_1,14,0.18953425,2.61E-08,5094.680645,0,0
SALCOBRAND S.A.,Providencia,2,COYANCURA  2283  OF. 1502,85,1,70,PR,85_PR_1,25,0.731716254,0.002248595,35122.38018,79,3554
SALVI HERMANOS LTDA.,Providencia,2,MANUEL MONTT 844,86,1,90,PR,86_PR_1,16,0.853940674,0.062841507,26233.0575,1649,74184
SANHUEZA VALLADARES CARLOS,Santiago,1,HUERFANOS 1294 OF 21,259,3,110,SA,259_SA_3,18,0.049533886,0,1711.891105,0,0
SANTANDER GESTION DE RECAUD. Y COB. LTDA,Santiago,1,MONEDA 856 PISO 5 OF. 502,260,3,120,SA,260_SA_3,18,0.622043247,0.001211855,21497.8146,26,1172
SEC.REG.M.DE BIENES NAC.P.S.TIT.,Santiago,1,JUAN ANTONIO RIOS 6 P.5 DECRET,261,3,90,SA,261_SA_3,20,0.547417925,0.000212297,21020.84831,4,201
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 9,87,1,60,SA,87_SA_1,21,0.255960637,5.12E-09,10320.33287,0,0
SEC.REG.MINST.DE TRASP.Y TELECOM,Santiago,1,AMUNATEGUI 139 PISO 2 BIBLIOTECA,262,3,120,SA,262_SA_3,21,0.255960637,5.12E-09,10320.33287,0,0
SEGURIDAD Y  TELECOMUNICACIONES S.A.,Las Condes,3,LAS CONDES 7300,88,1,120,LC,88_LC_1,24,0.68177269,0.001130142,31416.08556,36,1598
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 PISO 6 OF.601,328,4,120,LC,328_LC_4,19,0.808826241,0.016858302,29505.98126,497,22384
SEGUROS SECURITY PREVISION GENERALES S.A,Las Condes,3,HENDAYA 60 P7,329,4,90,LC,329_LC_4,19,0.808826241,0.016858302,29505.98126,497,22384
SEGUROS VIDA SECURITY PREVISION S.A.,Las Condes,3,HENDAYA 60 PISO 7 CASA MATRIZ,182,2,60,LC,182_LC_2,25,0.637011957,0.000439976,30576.57395,13,605
SEGURY CORP S.A.,—uÒoa,5,SUCRE 1828,183,2,20,NU,183_NU_2,24,0.260473477,8.88E-10,12002.61781,0,0
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,263,3,60,SA,263_SA_3,29,0.043425863,0,2417.952073,0,0
SENADO DE LA REPUBLICA,Santiago,1,SAN MARTIN 32 P.2,184,2,15,SA,184_SA_2,29,0.043425863,0,2417.952073,0,0
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 PISO 6 PRESUPUESTO,185,2,35,SA,185_SA_2,16,0.145263557,1.06E-10,4462.496467,0,0
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,CATEDRAL 1772 P.4,331,4,160,SA,331_SA_4,16,0.145263557,1.06E-10,4462.496467,0,0
SER.DE RG.CIVIL E IDENTIFICACION,Santiago,1,HUERFANOS 1570 P3 DIR REGIONAL,330,4,120,SA,330_SA_4,16,0.145263557,1.06E-10,4462.496467,0,0
SERV. INTEGRALES DE COMERCIO EXTERIOR LT,Santiago,1,MONJITAS 392 P 11 OF 1103,264,3,65,SA,264_SA_3,16,0.79606614,0.021934721,24455.15181,536,24139
SERV.DE CORRESPONDENCIA ENVIA LTDA,Providencia,2,CALLE BARROS ERRAZURIZ 1954 OF.1602,186,2,120,PR,186_PR_2,21,0.275615435,1.64E-08,11112.81432,0,0
SERVICIO DE IMPUESTOS INTERNOS,Santiago,1,TEATINOS 120 SUBTERRANEO,187,2,210,SA,187_SA_2,16,0.755866599,0.011997991,23220.22191,279,12537
SERVICIOS DE ADMIN. PREVISIONALES S.A.,Providencia,2,MARCHANT PEREIRA 10  P.16,89,1,70,PR,89_PR_1,17,0.635146121,0.001813447,20731.16938,38,1692
SERVICIOS DE CONTROL DE CREDITOS S.A.,Santiago,1,MONJITAS 550 P2 OF 7,90,1,90,SA,90_SA_1,16,0.571947799,0.000867613,17570.23639,15,686
SERVICIOS DE INGENIERIA LTDA.,Las Condes,3,AV VITACURA  2771 OF 1101 B,391,5,75,LC,391_LC_5,19,0.858236179,0.042359485,31308.45583,1326,59679
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRAL,393,5,150,PR,393_PR_5,24,0.035164256,0,1620.368932,0,0
SERVICIOS GENERALES LTDA.,Providencia,2,LADISLAO ERRAZURIZ 2121,91,1,120,PR,91_PR_1,24,0.035164256,0,1620.368932,0,0
SERVICIOS GENERALES LTDA.,Providencia,2,AV. RICARDO LYON 1177 CENTRO D.,392,5,35,PR,392_PR_5,24,0.035164256,0,1620.368932,0,0
SERVICIOS GRAFICOS JCV S.A.,Vitacura,4,VITACURA 2653 B,188,2,100,VI,188_VI_2,32,0.452701193,5.93E-07,27813.9613,0,1
SHELL CHILE S.A.C.E.I.,Providencia,2,CARLOS ANTUNEZ 2490,332,4,120,PR,332_PR_4,17,0.374277245,8.63E-06,12216.40928,0,5
SIEMENS S.A.,Providencia,2,AV HOLANDA 64,265,3,100,PR,265_PR_3,25,0.404176551,8.94E-07,19400.47447,0,1
SOC FORESTAL LOS ESTEROS LTDA,Santiago,1,COMPANIA 1068  OF 607,92,1,60,SA,92_SA_1,17,0.725082193,0.006515575,23666.68278,154,6939
SOC.AGRIC.ABOUGHAZALEH HNOS.LTDA.,Vitacura,4,AV LUIS  PASTEUR  5842  OF. 400,333,4,90,VI,333_VI_4,21,0.671208362,0.001511997,27063.12116,41,1841
SOC.INMOBILIARIA SAN CRISTOBAL,Providencia,2,AV.STA. MARIA 1742 INGENIERIA,394,5,75,PR,394_PR_5,22,0.644560542,0.000828346,27226.23729,23,1015
SOCIEDAD CONSTRUCTORA ELECTRICA LTDA.,Santiago,1,HUERFANOS  1178 OF 509,93,1,90,SA,93_SA_1,14,0.402779574,6.94E-05,10826.71494,1,34
SODEXHO CHILE S.A.,—uÒoa,5,WILLIAMS REBOLLEDO 1799  P.2.EDIF NUEVO,94,1,160,NU,94_NU_1,14,0.84317148,0.074161289,22664.44939,1681,75637
SONDA S.A.,Santiago,1,TEATINOS 500 P.8,95,1,140,SA,95_SA_1,19,0.634288475,0.001204205,23138.84358,28,1254
SOUTH EXPRESS CARGO S.A.,Santiago,1,SOTERO DEL RIO 508 OF 1027,334,4,30,SA,334_SA_4,21,0.688996796,0.001996567,27780.35083,55,2496
STECK Y CIA. LTDA.,Vitacura,4,BUENAVENTURA 1770 L.6,96,1,50,VI,96_VI_1,24,0.273116539,2.07E-09,12585.21012,0,0
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIO PRINT,98,1,10,PR,98_PR_1,15,0.325543015,5.13E-06,9375.638826,0,2
STUEDEMANN S.A.,Providencia,2,CONDELL 303 STUDIOPRINT,97,1,20,PR,97_PR_1,15,0.325543015,5.13E-06,9375.638826,0,2
SUP.DE ADMNST.FDOS.DE PENSIONES,Santiago,1,HUERFANOS 1273 P.14,335,4,30,SA,335_SA_4,16,0.018420751,0,565.8854556,0,0
SUPERINT DE INSTIT DE SALUD PREVISIONAL,Santiago,1,MAC IVER 225 P 3,266,3,80,SA,266_SA_3,22,0.899904917,0.080663052,38011.98369,3066,137977
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBU,Santiago,1,AMUNATEGUI 58 P.5,99,1,75,SA,99_SA_1,23,0.803673441,0.009211591,35490.21914,327,14711
SUPERMERCADO VESPUCIO SUR LTDA.,—uÒoa,5,A.VESPUCIO SUR 881 OF. DE COMPRAS,267,3,50,NU,267_NU_3,25,0.528512797,4.27E-05,25368.61426,1,49
SUPERMERCADOS UNIMARC S.A.,Vitacura,4,AV SANTA MARIA 6940 LIBRERIA,336,4,240,VI,336_VI_4,21,0.628903367,0.000758603,25357.38374,19,866
TECNA-VAL,Providencia,2,BARROS BORGONO 255,337,4,1,PR,337_PR_4,18,0.881397578,0.085857953,30461.1003,2615,117690
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P8,395,5,90,SA,395_SA_5,20,0.749621374,0.005798113,28785.46076,167,7511
TRANSBANK S.A.,Santiago,1,HUERFANOS 770 P 11 GCIA.GRAL.,338,4,60,SA,338_SA_4,20,0.749621374,0.005798113,28785.46076,167,7511
TUR BUS LTDA.,Santiago,1,RUIZ TAGLE 220 P.1 AT CLIENTES,396,5,60,SA,396_SA_5,21,0.879868016,0.052870465,35476.2784,1876,84404
TUR BUS LTDA.,Santiago,1,DOLORES 800  OPERACIONES P.2,397,5,10,SA,397_SA_5,21,0.879868016,0.052870465,35476.2784,1876,84404
UNIVERSIDAD CENTRAL,Santiago,1,TOESCA 1783 METRO TOESCA P 1,268,3,90,SA,268_SA_3,26,0.297011988,2.85E-09,14826.83846,0,0
UNIVERSIDAD DE CHILE,—uÒoa,5,IGNACIO CARRERA PINTO 1045 CENTRAL APUNT,398,5,150,NU,398_NU_5,25,0.596247887,0.000198067,28619.89858,6,255
UNIVERSIDAD DE CHILE,Santiago,1,PLAZA ERCILLA 883 OF.PARTES,340,4,60,SA,340_SA_4,25,0.596247887,0.000198067,28619.89858,6,255
UNIVERSIDAD DE CHILE,Santiago,1,DIAGONAL PARAGUAY 257-PISO 1,339,4,140,SA,339_SA_4,25,0.596247887,0.000198067,28619.89858,6,255
UNIVERSIDAD DE CHILE,Providencia,2,PIO NONO NRO.1,189,2,80,PR,189_PR_2,25,0.596247887,0.000198067,28619.89858,6,255
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831 -CENTRAL DE APUNTES,399,5,60,SA,399_SA_5,20,0.932345566,0.482948277,35802.06972,17291,778075
UNIVERSIDAD DE LA REPUBLICA,Santiago,1,AGUSTINAS 1831,190,2,30,SA,190_SA_2,20,0.932345566,0.482948277,35802.06972,17291,778075
UNIVERSIDAD FINIS TERRAE,Providencia,2,AV. PEDRO DE VALDIVIA 1543,100,1,60,PR,100_PR_1,20,0.266568092,1.89E-08,10236.21473,0,0
UNIVERSIDAD TECNICA METROPOLITANA,Santiago,1,VIDAURRE 1550 P/4 COMPUTACION,269,3,40,SA,269_SA_3,18,0.194704033,8.59E-10,6728.971387,0,0
VM.ICA SISTEMAS Y TECNOLOGIA LTDA.,Providencia,2,FIDEL OTEIZA 1916 OF.1001,400,5,45,PR,400_PR_5,17,0.46393143,8.72E-05,15142.72186,1,59
WARNER MUSIC CHILE S.A.,Providencia,2,AV. POCURO 2262,270,3,75,PR,270_PR_3,22,0.613808381,0.000484743,25927.26601,13,566
